Genus,specific_epithet,type,gene,river_actual,river_trib,FST,greater_perm,total_perm,p-value,numerator,real_p-value
Cyrtodactylus,spp,multiple,ND2,ChaoPhraya,ChaoPhraya,0.082501532,3,39186,7.66E-05,4,0.000102077
Calotes,spp,multiple,12S,Irrawaddy,Chindwin,0.266333452,0,1012,0,1,0.000988142
Calotes,spp,multiple,12S,Irrawaddy,Irrawaddy,0.267167084,0,2497,0,1,0.000400481
Calotes,spp,multiple,COI,Irrawaddy,Irrawaddy,0.274309399,0,1012,0,1,0.000988142
Cyrtodactylus,spp,multiple,ND2,Irrawaddy,Irrawaddy,-0.023455525,126,154,0.818181818,127,0.824675325
Calotes,spp,multiple,COI,Mekong,Mekong,0.257476773,0,627,0,1,0.001594896
calotes,spp,multiple,12S,Mekong,Mekong,0.268106734,0,56,0,1,0.017857143
Ichtyophis,spp,multiple,COI,Mekong,Mekong,0.219177211,0,35,0,1,0.028571429
Ichtyophis,spp,multiple,CYTB,Mekong,Mekong,0.256093266,0,35,0,1,0.028571429
Trimeresurus1,spp,multiple,ND4,Mekong,Mekong,0.312734095,0,627,0,1,0.001594896
Trimeresurus2,spp,multiple,ND4,Mekong,Mekong,0.268355833,0,39186,0,1,2.55193E-05
Trimeresurus3,spp,multiple,ND4,Mekong,Mekong,0.227917582,0,155363,0,1,6.43654E-06
Microhyla,spp,multiple,CYTB,Red,Red,nan,0,2497,0,1,0.000400481
Microhyla,spp,multiple,RAG2,Red,Red,nan,0,2497,0,1,0.000400481
Calotes,goetzi,single,12S,ChaoPhraya,ChaoPhraya,0.081162094,7,246,0.028455285,8,0.032520325
Calotes,goetzi,single,COI,ChaoPhraya,ChaoPhraya,0.011846961,1,10,0.1,2,0.2
Leiolepis,belliana,single,ND2,ChaoPhraya,ChaoPhraya,0.126211625,134,16368,0.008186706,135,0.008247801
Lycodon,neomaculatus,single,CYTB,ChaoPhraya,ChaoPhraya,0.213872832,0,35,0,1,0.028571429
