genus,specific_epithet,museum_id,genbank_id,river,side,
Acanthosaura,lepidogaster,USNM Herp 595362,OM420413 ,Red,N,
Acanthosaura,lepidogaster,USNM Herp 595361 ,OM420412,Red,N,
Acanthosaura,lepidogaster,USNM Herp 595360 ,OM420411 ,Red,N,
Acanthosaura,lepidogaster,USNM Herp 595359,OM420392,Red,S,
Acanthosaura,lepidogaster,USNM Herp 595358,OM420364 ,Red,S,
Acanthosaura,lepidogaster,USNM Herp 595357,OM420363 ,Red,S,
Acanthosaura,lepidogaster,USNM Herp 595356,OM420362 ,Red,S,
Acanthosaura,lepidogaster,USNM Herp 595355,OM420356 ,Red,N,
Acanthosaura,lepidogaster,USNM Herp 595354,OM420355,Red,N,
Acanthosaura,lepidogaster,USNM Herp 595353 ,OM420354 ,Red,N,
Acanthosaura,lepidogaster,USNM Herp 595352 ,OM420352,Red,N,
Acanthosaura,lepidogaster,USNM Herp 595351 ,OM420327 ,Red,N,
