genus,specific_epithet,museum_id,genbank_id,river,side
Acanthosaura,lepidogaster,ROM 30693,AY572927 ,Red,N
Acanthosaura,lepidogaster,ROM 38115 ,AY572925,Red,S
Acanthosaura,lepidogaster,FMNH 255489 ,AY572922 ,Red,S
Acanthosaura,lepidogaster,FMNH 255491 ,AY572919 ,Red,S
Acanthosaura,lepidogaster,FMNH 255581,AY572917 ,Red,S
Acanthosaura,lepidogaster,FMNH 255583,AY572914 ,Red,S
Acanthosaura,lepidogaster,FMNH 255582,AY572913 ,Red,S
Acanthosaura,lepidogaster,FMNH 255481 ,AY572912 ,Red,S
Acanthosaura,lepidogaster,ROM 31960 ,AY572911 ,Red,N
Acanthosaura,lepidogaster,ROM 36075 ,AY572910 ,Red,N
Acanthosaura,lepidogaster,ROM 30503,AY572906 ,Red,N
Acanthosaura,lepidogaster,ZISP 20753-1,AY572904 ,Red,S
Acanthosaura,lepidogaster,ROM 31954 ,AY572901 ,Red,N
Acanthosaura,lepidogaster,ROM 26328,AY572900,Red,S
Acanthosaura,lepidogaster,ZISP F11845,MT376199 ,Red,S
Acanthosaura,lepidogaster,ZISP F11809,MT376198 ,Red,N
