genus,specific_epithet,museum_id,genbank_id,river,side,
Cyrtodactylus,interdigitalis,HLM0320,MW792061.1,Mekong,W,
Cyrtodactylus,interdigitalis,NCSM 80100,OK626317.1,Mekong,W,
Cyrtodactylus,interdigitalis,FMNH:255454,JQ889181.1,Mekong,E,
Cyrtodactylus,interdigitalis,NCSM 79472,OK626316.1,Mekong,W,
Cyrtodactylus,interdigitalis,FMNH 270492,OK626315.1,Mekong,E,
Cyrtodactylus,interdigitalis,HLM0320,MW792061.1,Mekong,W,
Cyrtodactylus,interdigitalis,YC000952,ON055281,Mekong,W,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
