genus,specific_epithet,museum_id,genbank_id,river,side,
Cyrtodactylus,ngati,HNUE:R00111,ON411220.1,Mekong,E,
Cyrtodactylus,ngati,IEBR 4829,OK626318.1,Mekong,E,
Cyrtodactylus,ngati,VNUF R.2020.12,OK626319.1,Mekong,E,
Cyrtodactylus,ngati,FMNH:255454,JQ889181.1,Mekong,E,
Cyrtodactylus,ngati,FMNH 270492,OK626315.1,Mekong,E,
Cyrtodactylus,ngati,PLW-2013 NADH,JX519471,Mekong,W,
Cyrtodactylus,ngati,NCSM 79472,OK626316.1,Mekong,W,
Cyrtodactylus,ngati,NCSM 80100,OK626317.1,Mekong,E,
Cyrtodactylus,ngati,PLW-2013; FMNH:265806,JX519471.1,Mekong,W,
Cyrtodactylus,ngati,VNUF:R.2014.50,ON411221.1,Mekong,E,
,,,,,,
