genus,specific_epithet,museum_id,genbank_id,river,side,
Cyrtodactylus,thongphaphumensis,AUP-01715,MT468909.1,ChaoPhraya,W,
Cyrtodactylus,denticulatus,AUP-00680,MT468902.1,ChaoPhraya,W,
Cyrtodactylus,thongphaphumensis,ZMKU R 00957,OP620035.1,ChaoPhraya,W,
Cyrtodactylus,thongphaphumensis,ZMKU R 00956,OP620034.1,ChaoPhraya,W,
Cyrtodactylus,thongphaphumensis,ZMKU R 00955,OP620033.1,ChaoPhraya,W,
Cyrtodactylus,thongphaphumensis,ZMKU R 00954,OP620032.1,ChaoPhraya,W,
Cyrtodactylus,thongphaphumensis,ZMKU R 00953,OP620031.1,ChaoPhraya,W,
Cyrtodactylus,thongphaphumensis,ZMKU R 00952,OP620030.1,ChaoPhraya,W,
Cyrtodactylus,thongphaphumensis,ZMKU R 00951,OP620029.1,ChaoPhraya,W,
Cyrtodactylus,thongphaphumensis,ZMKU R 00950,OP620028.1,ChaoPhraya,W,
Cyrtodactylus,uthaiensis,ZMKU R 00949,OP620027.1,ChaoPhraya,W,
Cyrtodactylus,interdigitalis,HLM0320,MW792061.1,ChaoPhraya,E,
Cyrtodactylus,interdigitalis,NCSM 80100,OK626317.1,ChaoPhraya,E,
Cyrtodactylus,interdigitalis,NCSM 79472,OK626316.1,ChaoPhraya,E,
Cyrtodactylus,interdigitalis,HLM0320,MW792061.1,ChaoPhraya,E,
Cyrtodactylus,interdigitalis,YC000952,ON055281,ChaoPhraya,E,
Cyrtodactylus,ngati,PLW-2013 NADH,JX519471,ChaoPhraya,E,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
