genus,specific_epithet,museum_id,genbank_id,river,side,
Gekko,palmatus,SWU 007307,PX649646,Red,N,
Gekko,palmatus,SWU 0008816,PX649645,Red,N,
Gekko,palmatus,SWU 0008817,PX649647,Red,N,
Gekko,palmatus,SWU 0008818,PX649644,Red,N,
Gekko,palmatus,SWU 0003079,PX649649,Red,N,
Gekko,palmatus,SWU 0003080,PX649642,Red,N,
Gekko,palmatus,SWU 0003082,PX649643,Red,N,
Gekko,palmatus,ZMMU Re-16596,PX649608,Red,N,
Gekko,palmatus,ZMMU Re-16597,PX649606,Red,N,
Gekko,palmatus,ZMMU Re-05699,PX649611,Red,S,
Gekko,palmatus,ZMMU Re-06300,PX649612,Red,S,
Gekko,palmatus,ZMMU Re-15137,PX649620,Red,S,
Gekko,palmatus,ZMMU Re-15138,PX649610,Red,S,
Gekko,palmatus,ZMMU Re-15139,PX649607,Red,S,
Gekko,palmatus,ZMMU Re-15140,PX649609,Red,S,
