genus,specific_epithet,museum_id,genbank_id,river,side,
Microhyla,mukhlesuri,KIZ024759,KU882422,Mekong,W,
Microhyla,mukhlesuri,KIZ024760,KU882423,Mekong,W,
Microhyla,mukhlesuri,KUHE34130,AB201218,Mekong,W,
Microhyla,mukhlesuri,KIZ024294,KU882432,Mekong,W,
Microhyla,mukhlesuri,KIZ024295,KU882433,Mekong,W,
Microhyla,mukhlesuri,KUHE34324,AB201221,Mekong,S,
Microhyla,mukhlesuri,ZISP-FN-159,KU882439,Mekong,S,
Microhyla,mukhlesuri,PNKB2011.94,KU882440,Mekong,S,
Microhyla,mukhlesuri,KIZ010051,KU882441,Mekong,S,
Microhyla,mukhlesuri,KIZ010071,KU882442,Mekong,S,
