genus,specific_epithet,museum_id,genbank_id,river,side
Microhyla,mukhlesuri,KUHE34324,AB201221,Red,S
Microhyla,mukhlesuri,ZISP-FN-159,KU882439,Red,S
Microhyla,mukhlesuri,PNKB2011.94,KU882440,Red,S
Microhyla,mukhlesuri,KIZ010051,KU882441,Red,S
Microhyla,mukhlesuri,KIZ046821,KU882368,Red,S
Microhyla,mukhlesuri,KIZYN0705116,KU882378,Red,S
Microhyla,fissipes,KIZ07875,KU882318,Red,N
Microhyla,fissipes,Tissue ID: KIZYPX30172,KU882321,Red,N
Microhyla,fissipes,ROM 6618,KU882322,Red,N
Microhyla,fissipes,ROM 6620,KU882324,Red,N
Microhyla,fissipes,ROM 19236,KU882331,Red,N
Microhyla,fissipes,ROM 19239,KU882333,Red,N
