genus,specific_epithet,museum_id,genbank_id,river,side,
Microhyla,mukhlesuri,ZISP-FN-159,KU882649,Red,S,
Microhyla,mukhlesuri,KIZ046821,KU882604,Red,S,
Microhyla,mukhlesuri,KIZ046824,KU882605,Red,S,
Microhyla,mukhlesuri,KIZYN0705115,KU882609,Red,S,
Microhyla,mukhlesuri,KIZYN0705116,KU882610,Red,S,
Microhyla,mukhlesuri,KIZYN0705148,KU882612,Red,S,
Microhyla,fissipes,KIZ07875,KU882567,Red,N,
Microhyla,fissipes,ROM 6618,KU882570,Red,N,
Microhyla,fissipes,ROM 6620,KU882571,Red,N,
Microhyla,fissipes,ROM 19236,KU882577,Red,N,
Microhyla,fissipes,ROM 19239,KU882578,Red,N,
Microhyla,fissipes,NAP-03351,KU882343,Red,N,
