generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1584	0	10	0.322581	none	
TimeSizeRateMixer	2915	1360	5	0.16129	0.143465	
TimeRootSizeMixer	1279	1103	3	0.0967742	0.17003	
EventTimeScaler	9452	6242	1	0.0322581	0.470072	
RootPopulationSizeScaler0	751	695	1	0.0322581	0.285274	
LeafPopulationSizeScaler0	1016	431	1	0.0322581	0.817778	
RootPopulationSizeScaler1	903	573	1	0.0322581	0.244818	
LeafPopulationSizeScaler1	926	510	1	0.0322581	0.560043	
RootPopulationSizeScaler2	757	698	1	0.0322581	0.224796	
LeafPopulationSizeScaler2	799	647	1	0.0322581	0.245909	
RootPopulationSizeScaler3	619	835	1	0.0322581	0.181516	
LeafPopulationSizeScaler3	869	563	1	0.0322581	0.209576	
RootPopulationSizeScaler4	854	604	1	0.0322581	0.266051	
LeafPopulationSizeScaler4	1166	295	1	0.0322581	0.696597	
RootPopulationSizeScaler5	893	579	1	0.0322581	0.265385	
LeafPopulationSizeScaler5	996	457	1	0.0322581	0.217039	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3230	0	10	0.322581	none	
TimeSizeRateMixer	5502	3022	5	0.16129	0.161411	
TimeRootSizeMixer	2599	2388	3	0.0967742	0.178162	
EventTimeScaler	18213	13601	1	0.0322581	0.507089	
RootPopulationSizeScaler0	1498	1444	1	0.0322581	0.298732	
LeafPopulationSizeScaler0	1927	981	1	0.0322581	0.935728	
RootPopulationSizeScaler1	1669	1276	1	0.0322581	0.258323	
LeafPopulationSizeScaler1	1763	1148	1	0.0322581	0.620827	
RootPopulationSizeScaler2	1446	1483	1	0.0322581	0.23113	
LeafPopulationSizeScaler2	1556	1381	1	0.0322581	0.258478	
RootPopulationSizeScaler3	1250	1688	1	0.0322581	0.179103	
LeafPopulationSizeScaler3	1651	1244	1	0.0322581	0.224604	
RootPopulationSizeScaler4	1606	1318	1	0.0322581	0.28368	
LeafPopulationSizeScaler4	2210	728	1	0.0322581	0.846109	
RootPopulationSizeScaler5	1706	1238	1	0.0322581	0.283743	
LeafPopulationSizeScaler5	1937	1004	1	0.0322581	0.249221	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4840	0	10	0.322581	none	
TimeSizeRateMixer	7930	4862	5	0.16129	0.170324	
TimeRootSizeMixer	3874	3709	3	0.0967742	0.182406	
EventTimeScaler	26805	21146	1	0.0322581	0.527277	
RootPopulationSizeScaler0	2188	2246	1	0.0322581	0.302341	
LeafPopulationSizeScaler0	2803	1576	1	0.0322581	0.995662	
RootPopulationSizeScaler1	2443	1976	1	0.0322581	0.26767	
LeafPopulationSizeScaler1	2581	1801	1	0.0322581	0.645447	
RootPopulationSizeScaler2	2171	2239	1	0.0322581	0.236239	
LeafPopulationSizeScaler2	2257	2148	1	0.0322581	0.262403	
RootPopulationSizeScaler3	1858	2570	1	0.0322581	0.177075	
LeafPopulationSizeScaler3	2443	1946	1	0.0322581	0.233174	
RootPopulationSizeScaler4	2348	2068	1	0.0322581	0.291133	
LeafPopulationSizeScaler4	3177	1243	1	0.0322581	0.930719	
RootPopulationSizeScaler5	2481	1945	1	0.0322581	0.29224	
LeafPopulationSizeScaler5	2848	1594	1	0.0322581	0.267586	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	6441	0	10	0.322581	none	
TimeSizeRateMixer	10322	6702	5	0.16129	0.17652	
TimeRootSizeMixer	5302	5203	3	0.0967742	0.185584	
EventTimeScaler	35449	28795	1	0.0322581	0.541245	
RootPopulationSizeScaler0	2920	3048	1	0.0322581	0.304987	
LeafPopulationSizeScaler0	3706	2198	1	0.0322581	1.04004	
RootPopulationSizeScaler1	3220	2730	1	0.0322581	0.273628	
LeafPopulationSizeScaler1	3411	2488	1	0.0322581	0.665948	
RootPopulationSizeScaler2	2898	3047	1	0.0322581	0.238778	
LeafPopulationSizeScaler2	2982	2978	1	0.0322581	0.265036	
RootPopulationSizeScaler3	2514	3438	1	0.0322581	0.176448	
LeafPopulationSizeScaler3	3248	2688	1	0.0322581	0.239011	
RootPopulationSizeScaler4	3099	2815	1	0.0322581	0.296044	
LeafPopulationSizeScaler4	4193	1739	1	0.0322581	0.991462	
RootPopulationSizeScaler5	3219	2731	1	0.0322581	0.296106	
LeafPopulationSizeScaler5	3685	2264	1	0.0322581	0.276706	
generation 25000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8068	0	10	0.322581	none	
TimeSizeRateMixer	12689	8578	5	0.16129	0.181159	
TimeRootSizeMixer	6480	6474	3	0.0967742	0.187283	
EventTimeScaler	43876	36475	1	0.0322581	0.551381	
RootPopulationSizeScaler0	3619	3794	1	0.0322581	0.308043	
LeafPopulationSizeScaler0	4507	2827	1	0.0322581	1.07116	
RootPopulationSizeScaler1	3950	3431	1	0.0322581	0.277133	
LeafPopulationSizeScaler1	4111	3210	1	0.0322581	0.674766	
RootPopulationSizeScaler2	3554	3833	1	0.0322581	0.23973	
LeafPopulationSizeScaler2	3669	3730	1	0.0322581	0.26752	
RootPopulationSizeScaler3	3106	4263	1	0.0322581	0.175869	
LeafPopulationSizeScaler3	3989	3383	1	0.0322581	0.243381	
RootPopulationSizeScaler4	3803	3544	1	0.0322581	0.299923	
LeafPopulationSizeScaler4	5077	2264	1	0.0322581	1.0322	
RootPopulationSizeScaler5	3909	3465	1	0.0322581	0.298423	
LeafPopulationSizeScaler5	4510	2880	1	0.0322581	0.28496	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	9668	0	10	0.322581	none	
TimeSizeRateMixer	14964	10503	5	0.16129	0.184548	
TimeRootSizeMixer	7723	7791	3	0.0967742	0.188716	
EventTimeScaler	52114	44162	1	0.0322581	0.559348	
RootPopulationSizeScaler0	4295	4568	1	0.0322581	0.30978	
LeafPopulationSizeScaler0	5332	3455	1	0.0322581	1.09254	
RootPopulationSizeScaler1	4684	4148	1	0.0322581	0.280157	
LeafPopulationSizeScaler1	4834	3957	1	0.0322581	0.682449	
RootPopulationSizeScaler2	4232	4600	1	0.0322581	0.240595	
LeafPopulationSizeScaler2	4354	4522	1	0.0322581	0.268998	
RootPopulationSizeScaler3	3762	5086	1	0.0322581	0.175791	
LeafPopulationSizeScaler3	4748	4077	1	0.0322581	0.246592	
RootPopulationSizeScaler4	4548	4247	1	0.0322581	0.303589	
LeafPopulationSizeScaler4	5983	2799	1	0.0322581	1.06842	
RootPopulationSizeScaler5	4612	4219	1	0.0322581	0.300787	
LeafPopulationSizeScaler5	5362	3491	1	0.0322581	0.292007	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11303	0	10	0.322581	none	
TimeSizeRateMixer	17266	12448	5	0.16129	0.187294	
TimeRootSizeMixer	8877	9107	3	0.0967742	0.189672	
EventTimeScaler	60284	52043	1	0.0322581	0.565459	
RootPopulationSizeScaler0	4986	5339	1	0.0322581	0.310988	
LeafPopulationSizeScaler0	6135	4094	1	0.0322581	1.11137	
RootPopulationSizeScaler1	5393	4886	1	0.0322581	0.282247	
LeafPopulationSizeScaler1	5602	4674	1	0.0322581	0.690234	
RootPopulationSizeScaler2	4904	5394	1	0.0322581	0.241224	
LeafPopulationSizeScaler2	5044	5282	1	0.0322581	0.270693	
RootPopulationSizeScaler3	4407	5885	1	0.0322581	0.175929	
LeafPopulationSizeScaler3	5490	4787	1	0.0322581	0.249135	
RootPopulationSizeScaler4	5265	4991	1	0.0322581	0.305936	
LeafPopulationSizeScaler4	6920	3316	1	0.0322581	1.09953	
RootPopulationSizeScaler5	5343	4972	1	0.0322581	0.303091	
LeafPopulationSizeScaler5	6172	4136	1	0.0322581	0.296973	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	12911	0	10	0.322581	none	
TimeSizeRateMixer	19484	14313	5	0.16129	0.189757	
TimeRootSizeMixer	10102	10459	3	0.0967742	0.190755	
EventTimeScaler	68460	59801	1	0.0322581	0.57079	
RootPopulationSizeScaler0	5654	6106	1	0.0322581	0.312269	
LeafPopulationSizeScaler0	6912	4777	1	0.0322581	1.12645	
RootPopulationSizeScaler1	6125	5605	1	0.0322581	0.284394	
LeafPopulationSizeScaler1	6326	5400	1	0.0322581	0.695787	
RootPopulationSizeScaler2	5579	6172	1	0.0322581	0.242153	
LeafPopulationSizeScaler2	5746	6043	1	0.0322581	0.271902	
RootPopulationSizeScaler3	5037	6724	1	0.0322581	0.175778	
LeafPopulationSizeScaler3	6232	5477	1	0.0322581	0.251654	
RootPopulationSizeScaler4	5928	5794	1	0.0322581	0.306744	
LeafPopulationSizeScaler4	7790	3906	1	0.0322581	1.12314	
RootPopulationSizeScaler5	6043	5727	1	0.0322581	0.304626	
LeafPopulationSizeScaler5	6967	4802	1	0.0322581	0.300944	
generation 45000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	14531	0	10	0.322581	none	
TimeSizeRateMixer	21693	16311	5	0.16129	0.191803	
TimeRootSizeMixer	11229	11777	3	0.0967742	0.191344	
EventTimeScaler	76575	67630	1	0.0322581	0.575546	
RootPopulationSizeScaler0	6300	6907	1	0.0322581	0.312861	
LeafPopulationSizeScaler0	7705	5422	1	0.0322581	1.14112	
RootPopulationSizeScaler1	6861	6311	1	0.0322581	0.286617	
LeafPopulationSizeScaler1	7021	6131	1	0.0322581	0.699557	
RootPopulationSizeScaler2	6260	6936	1	0.0322581	0.242967	
LeafPopulationSizeScaler2	6394	6823	1	0.0322581	0.272809	
RootPopulationSizeScaler3	5673	7503	1	0.0322581	0.175924	
LeafPopulationSizeScaler3	6955	6176	1	0.0322581	0.253585	
RootPopulationSizeScaler4	6636	6527	1	0.0322581	0.308677	
LeafPopulationSizeScaler4	8642	4448	1	0.0322581	1.14439	
RootPopulationSizeScaler5	6716	6491	1	0.0322581	0.306038	
LeafPopulationSizeScaler5	7793	5411	1	0.0322581	0.305633	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	16170	0	10	0.322581	none	
TimeSizeRateMixer	23802	18150	5	0.16129	0.193589	
TimeRootSizeMixer	12484	13134	3	0.0967742	0.192029	
EventTimeScaler	84752	75502	1	0.0322581	0.57962	
RootPopulationSizeScaler0	6954	7683	1	0.0322581	0.313778	
LeafPopulationSizeScaler0	8492	6056	1	0.0322581	1.15374	
RootPopulationSizeScaler1	7557	7031	1	0.0322581	0.287943	
LeafPopulationSizeScaler1	7695	6884	1	0.0322581	0.702932	
RootPopulationSizeScaler2	6897	7721	1	0.0322581	0.243501	
LeafPopulationSizeScaler2	7073	7570	1	0.0322581	0.273669	
RootPopulationSizeScaler3	6262	8329	1	0.0322581	0.175481	
LeafPopulationSizeScaler3	7628	6912	1	0.0322581	0.254616	
