generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_E1	ln_likelihood_E1	ln_prior_E1	root_height_E1	mutation_rate_E1	freq_1_E1	pop_size_E1	pop_size_W1	pop_size_root_E1	root_height_index_W2	ln_likelihood_W2	ln_prior_W2	root_height_W2	mutation_rate_W2	freq_1_W2	pop_size_W2	pop_size_E2	pop_size_root_W2	root_height_index_W3	ln_likelihood_W3	ln_prior_W3	root_height_W3	mutation_rate_W3	freq_1_W3	pop_size_W3	pop_size_E3	pop_size_root_W3	root_height_index_W6	ln_likelihood_W6	ln_prior_W6	root_height_W6	mutation_rate_W6	freq_1_W6	pop_size_W6	pop_size_E6	pop_size_root_W6	root_height_index_W8	ln_likelihood_W8	ln_prior_W8	root_height_W8	mutation_rate_W8	freq_1_W8	pop_size_W8	pop_size_E8	pop_size_root_W8	root_height_index_E	ln_likelihood_E	ln_prior_E	root_height_E	mutation_rate_E	freq_1_E	pop_size_E	pop_size_W	pop_size_root_E
0	-19494.4575071294639	82.7805611574845841	6	7.5	0	-321.57482666606785	10.4034410212861346	0.000500093424001596593	1	0.5	0.00123131025466779271	0.00123131025466779271	0.00122720317485606762	1	-768.219470072171362	7.67559132155867729	0.00493156920774599859	1	0.5	0.00832270004916233971	0.00832270004916233971	0.00810794006464627716	2	-4845.35878027878061	10.3028584378354608	0.00139875828397527748	1	0.5	0.00603164784703528155	0.00603164784703528155	0.0058122051225182516	3	-9075.27363672181855	11.5461728800659102	0.00626275972119684325	1	0.5	0.00255928526117912142	0.00255928526117912142	0.00226630126927654255	4	-579.332067431956602	10.2136321365869378	0.00853260285694029674	1	0.5	0.00519305359883263668	0.00519305359883263668	0.00447728856093211527	5	-3904.69872595867037	9.89935620484560275	0.0109263981500430981	1	0.5	0.0012865087058422642	0.0012865087058422642	0.00113228005842918428
50	-19001.2139136592123	64.806607502672307	5	7.5	0	-320.558275289406595	10.0672704091673886	0.00220406840468076286	1	0.5	0.00128492549267207709	0.0011345728228260854	0.00128724450947880517	1	-767.388479953346632	7.85188959912266071	0.0109248022784002308	1	0.5	0.00792539064124350365	0.00820802863587474438	0.00754048133488414724	1	-4536.27023876738531	9.18572101127383789	0.0109248022784002308	1	0.5	0.00646932620586935809	0.00612429628958193785	0.00710158660620359428	2	-8937.47386558982726	10.501390720979316	0.0289543847172722933	1	0.5	0.00285794637450531011	0.00267696456350725127	0.00226450807836817928	3	-568.006845079993127	4.96710402448979593	0.00209187861805727173	1	0.5	0.00505391431837285115	0.00501217801659781768	0.00341180193376303164	4	-3871.51620897925113	10.317258032553422	0.0304116700623887973	1	0.5	0.00132795850132325023	0.00139977992146519416	0.0012276200136593985
100	-18933.7270630898856	60.7230882637928602	4	7.5	0	-320.628745088280652	10.2238909256185124	0.00210467178270856052	1	0.5	0.00134566129838169495	0.00120958652984756135	0.00136626264617071072	1	-767.093918344318922	8.0563333251620719	0.0078514835518890113	1	0.5	0.00748900746156432821	0.00827628412040552937	0.00828212574829680775	2	-4527.11766906441881	4.81762423180987653	0.0113505665311112221	1	0.5	0.00632889444694475188	0.00627569278441807068	0.0084958716884755564	3	-8893.84410247281812	12.1592090499370649	0.0340312769196299755	1	0.5	0.00308687256872170347	0.002908552419788065	0.00306270049895513699	0	-568.515465240056301	7.67031638300859342	0.00210467178270856052	1	0.5	0.00450336731472849965	0.005229174503673952	0.00361852485083668726	3	-3856.52716287999192	10.5749333201551714	0.0340312769196299755	1	0.5	0.00145518121716201499	0.00162340717458398323	0.00136950572567762934
150	-18866.2368488840802	68.3925296650039769	5	7.5	0	-320.484861578644256	10.4647106568112989	0.00191814071390960291	1	0.5	0.00136433755393780012	0.00127181994316524554	0.00122941609825955424	1	-766.135099326524937	8.97332824046831945	0.00393298837191830616	1	0.5	0.00702434222666585041	0.00752488351559317623	0.00719405089966107959	2	-4522.42107734226011	3.77046283351884881	0.00907805584085917723	1	0.5	0.00601125862654543295	0.00683462246153024051	0.00887084001522916304	3	-8854.22525678321654	11.6257188613612037	0.0350911649001060671	1	0.5	0.00331584140313422255	0.00285721022031094549	0.0027402616391455103	4	-566.801930705009227	8.09767145143548817	0.00190075124526603014	1	0.5	0.00435321672254530834	0.00472461902920837985	0.00339996125382557683	3	-3836.16862314842638	11.2780936154489382	0.0350911649001060671	1	0.5	0.00169052162466870408	0.00178670916035673878	0.00161930773341328361
200	-18775.712523618884	53.0467804611471649	5	7.5	0	-320.532633423583945	9.85193920129897549	0.00206174425528196604	1	0.5	0.00116179482746618244	0.00134621778363434408	0.00110957883585169662	1	-761.159280671699548	10.1368957267012725	0.00718432492908874752	1	0.5	0.0059007025200684968	0.00652865031581926179	0.00622800075579818275	2	-4510.46112433596136	-7.16578672756664048	0.0104189108691203555	1	0.5	0.00558969574003536154	0.00746905101109251578	0.0110133382976829869	3	-8787.02119520594715	9.17041521687276884	0.034672324457817566	1	0.5	0.00372944051870585571	0.00252519673201883742	0.00391045484462248724	0	-566.277254747832785	11.1767404367996903	0.00206174425528196604	1	0.5	0.00351511925385200683	0.00462162024772192013	0.0035771572085919771	4	-3830.26103523385882	9.34643565840516999	0.0341078271339901803	1	0.5	0.00178141614255069398	0.00174550004325665052	0.0014068162011097922
250	-18665.7014107003488	72.7489042123795713	5	7.5	0	-320.538036306227468	10.3340277013951685	0.00176534828856503029	1	0.5	0.0014478214001925917	0.0012298596719588419	0.00143818588278046811	1	-758.185625930599599	10.4121369277080724	0.0070855268225557622	1	0.5	0.00502061120097451775	0.00474799033250107843	0.00419521850900800297	2	-4511.13892734730052	5.42776650186554477	0.0130335350419811639	1	0.5	0.00688142758516666932	0.0102164411735885668	0.0102080456890226573	3	-8685.27173231517554	10.3296233480949127	0.0381557419804556402	1	0.5	0.00450240000233146764	0.00275363753369070249	0.00427374575013718047	4	-560.544707356870845	11.7096128488465538	0.00156247328782355903	1	0.5	0.00265453378307430867	0.00365826878013464927	0.00284667584170803347	3	-3830.02238144417697	11.3213453134416326	0.0381557419804556402	1	0.5	0.00176142532730661763	0.00191093316134217386	0.00195468137741425328
300	-18552.559001577778	68.2811024337208892	5	7.5	0	-319.894612882591844	10.1381703312955871	0.00143506334760652634	1	0.5	0.00110823071364721639	0.001185326700701821	0.00112240702290227596	1	-757.803333552659637	10.6205195628904008	0.00645493763935830068	1	0.5	0.00504527667025550606	0.00403406481652386281	0.00389720849254784809	2	-4508.20009963738812	1.07780880358214048	0.0117849137643016716	1	0.5	0.00566016991480369595	0.0101591569790307826	0.0111229346651556017	3	-8596.50680001203182	11.5107335762466683	0.0415607070777189377	1	0.5	0.00533233377079325981	0.00247501344117404681	0.00397809306192094866	4	-555.978334525309833	10.2479835070588194	0.00337062724744424712	1	0.5	0.00233500798290144735	0.00298603596356276577	0.0021537937949715996	3	-3814.17582096779824	11.7718574471244359	0.0415607070777189377	1	0.5	0.00197560040873878684	0.00241146535460064855	0.00229093235964672936
350	-18332.1597775254995	72.0145906737554213	5	7.5	0	-320.417647339281814	10.4748693328698295	0.000902679227368467893	1	0.5	0.00132570931003861262	0.00120465527013831081	0.00122814416510867567	1	-758.288276027073039	11.4502188244343941	0.00450447368865594146	1	0.5	0.00475873648309209016	0.00335485779940332017	0.00368018229577574563	2	-4511.76729135331607	5.40426161475631162	0.0118755095345594742	1	0.5	0.00617268009233257718	0.00987257358090504189	0.00986345777612762827	3	-8416.27308545835331	8.32307051674021992	0.047310382879537996	1	0.5	0.00757625667938128817	0.00278857517259560768	0.0062563886968231338	4	-551.565881172991112	11.579639748608006	0.00299901949085554275	1	0.5	0.00151906174144587859	0.00239328755020189752	0.0019395669849530269	3	-3773.84759617448253	12.1670830052785988	0.047310382879537996	1	0.5	0.00282005405219376733	0.00277602318873510336	0.00283879889149457783
400	-18122.0656213096518	64.4747766829874109	6	7.5	0	-319.565998841138878	8.84408265749477707	0.00158217850244567822	1	0.5	0.00129554406833021782	0.00069597285695493236	0.00089248557970324216	1	-757.98516218550094	10.4818376840802969	0.0057233861106960179	1	0.5	0.00687535444291719356	0.0028418172275832326	0.00521847255559562684	2	-4511.23543267463447	4.97605767372298757	0.0111155598725274102	1	0.5	0.005931233517880251	0.0119947908681745843	0.0105157545925821262	3	-8245.97202223979184	5.33189442219373788	0.0789664038389006895	1	0.5	0.0107665297490949149	0.00218574761048843328	0.00806287201177473441	4	-549.185557666074715	10.7438372437499332	0.00418523291728357168	1	0.5	0.00178413468222168793	0.0011105318160232352	0.00146996686752289126	5	-3738.12144770250961	11.9890869789018701	0.0372947117266702391	1	0.5	0.00408580357802186111	0.00356676790170925954	0.00372096509568068919
450	-17963.2102238153748	53.3571283932474358	5	7.5	0	-321.410882515327671	10.5530173505911158	0.00279194980209731972	1	0.5	0.00185878923919953693	0.000978950396441967277	0.00143649723101235563	1	-759.453406442694018	11.8014591186158881	0.00350845708773209674	1	0.5	0.00363864055774159581	0.00426403582401957675	0.00412446057706607108	2	-4512.30416255533237	5.07591659014859786	0.0104076868257024953	1	0.5	0.00598614713299441912	0.0104619582614690725	0.0101142216018766679	3	-8104.81804073391868	4.60028990557903938	0.0797327920215297886	1	0.5	0.0151268970921780588	0.00317397852250412074	0.00982244149123606865	0	-547.519651309352753	9.17977470031071618	0.00279194980209731972	1	0.5	0.00197420921121933476	0.000516104337542010378	0.00124621013088724655	4	-3717.70408025875076	7.21705569663808788	0.0480095050809564716	1	0.5	0.00525400190190632253	0.00326137247806438041	0.00307882339669561219
