model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5	0.353571	0.353571	0.194587	2.26392
0,1,2,3,4,3	0.283214	0.636786	0.025702	14.9779
0,1,2,3,0,4	0.121429	0.758214	0.025905	5.19711
0,1,2,3,0,3	0.0942857	0.8525	0.003468	29.9135
0,1,2,3,1,4	0.0571429	0.909643	0.025813	2.28728
0,1,2,3,1,3	0.0489286	0.958571	0.003357	15.2735
0,0,1,2,3,2	0.0110714	0.969643	0.003519	3.17021
0,0,1,2,3,4	0.00928571	0.978929	0.026053	0.350384
0,0,1,2,0,3	0.0075	0.986429	0.007029	1.06751
0,0,1,2,0,2	0.00464286	0.991071	0.00093	5.01094
0,1,2,2,3,4	0.00357143	0.994643	0.026313	0.132631
0,1,1,2,3,2	0.00178571	0.996429	0.003596	0.495683
0,1,1,2,3,4	0.00142857	0.997857	0.02614	0.0532984
0,1,1,2,0,3	0.000714286	0.998571	0.003425	0.207985
0,1,2,2,0,3	0.000714286	0.999286	0.0035	0.203513
0,1,1,2,0,2	0.000357143	0.999643	0.000446	0.800698
0,1,2,2,1,3	0.000357143	1	0.003407	0.104506
