generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1632	0	10	0.322581	none	
TimeSizeRateMixer	2524	1687	5	0.16129	0.198053	
TimeRootSizeMixer	1387	1108	3	0.0967742	0.240825	
EventTimeScaler	9507	6082	1	0.0322581	0.474229	
RootPopulationSizeScaler0	937	545	1	0.0322581	0.2361	
LeafPopulationSizeScaler0	1036	470	1	0.0322581	0.719702	
RootPopulationSizeScaler1	854	650	1	0.0322581	0.229682	
LeafPopulationSizeScaler1	1066	430	1	0.0322581	0.192854	
RootPopulationSizeScaler2	850	634	1	0.0322581	0.279858	
LeafPopulationSizeScaler2	1102	383	1	0.0322581	0.518477	
RootPopulationSizeScaler3	852	653	1	0.0322581	0.28434	
LeafPopulationSizeScaler3	1226	264	1	0.0322581	0.574766	
RootPopulationSizeScaler4	794	681	1	0.0322581	0.300102	
LeafPopulationSizeScaler4	939	554	1	0.0322581	0.526216	
RootPopulationSizeScaler5	825	637	1	0.0322581	0.276941	
LeafPopulationSizeScaler5	1136	371	1	0.0322581	0.577205	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3191	0	10	0.322581	none	
TimeSizeRateMixer	4654	3555	5	0.16129	0.211835	
TimeRootSizeMixer	2678	2415	3	0.0967742	0.251394	
EventTimeScaler	17716	13161	1	0.0322581	0.509739	
RootPopulationSizeScaler0	1726	1226	1	0.0322581	0.254795	
LeafPopulationSizeScaler0	1904	1060	1	0.0322581	0.809507	
RootPopulationSizeScaler1	1600	1382	1	0.0322581	0.240375	
LeafPopulationSizeScaler1	1992	987	1	0.0322581	0.219803	
RootPopulationSizeScaler2	1583	1376	1	0.0322581	0.293563	
LeafPopulationSizeScaler2	2069	884	1	0.0322581	0.60512	
RootPopulationSizeScaler3	1618	1361	1	0.0322581	0.300181	
LeafPopulationSizeScaler3	2240	702	1	0.0322581	0.69313	
RootPopulationSizeScaler4	1476	1469	1	0.0322581	0.308656	
LeafPopulationSizeScaler4	1760	1197	1	0.0322581	0.570404	
RootPopulationSizeScaler5	1555	1369	1	0.0322581	0.289182	
LeafPopulationSizeScaler5	2118	867	1	0.0322581	0.675259	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4751	0	10	0.322581	none	
TimeSizeRateMixer	6880	5579	5	0.16129	0.219864	
TimeRootSizeMixer	3881	3665	3	0.0967742	0.256783	
EventTimeScaler	25804	20501	1	0.0322581	0.528152	
RootPopulationSizeScaler0	2515	1925	1	0.0322581	0.26705	
LeafPopulationSizeScaler0	2801	1668	1	0.0322581	0.866761	
RootPopulationSizeScaler1	2340	2118	1	0.0322581	0.246996	
LeafPopulationSizeScaler1	2875	1573	1	0.0322581	0.234311	
RootPopulationSizeScaler2	2316	2135	1	0.0322581	0.299998	
LeafPopulationSizeScaler2	3008	1428	1	0.0322581	0.652721	
RootPopulationSizeScaler3	2378	2086	1	0.0322581	0.307899	
LeafPopulationSizeScaler3	3254	1171	1	0.0322581	0.767035	
RootPopulationSizeScaler4	2186	2253	1	0.0322581	0.313732	
LeafPopulationSizeScaler4	2581	1877	1	0.0322581	0.597431	
RootPopulationSizeScaler5	2305	2137	1	0.0322581	0.295697	
LeafPopulationSizeScaler5	3034	1434	1	0.0322581	0.72593	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	6390	0	10	0.322581	none	
TimeSizeRateMixer	9005	7529	5	0.16129	0.22493	
TimeRootSizeMixer	5018	4866	3	0.0967742	0.259551	
EventTimeScaler	33925	27959	1	0.0322581	0.540615	
RootPopulationSizeScaler0	3309	2570	1	0.0322581	0.274231	
LeafPopulationSizeScaler0	3668	2270	1	0.0322581	0.90021	
RootPopulationSizeScaler1	3055	2871	1	0.0322581	0.250319	
LeafPopulationSizeScaler1	3714	2173	1	0.0322581	0.244111	
RootPopulationSizeScaler2	3029	2872	1	0.0322581	0.304688	
LeafPopulationSizeScaler2	3887	1979	1	0.0322581	0.684782	
RootPopulationSizeScaler3	3056	2851	1	0.0322581	0.310946	
LeafPopulationSizeScaler3	4214	1661	1	0.0322581	0.819083	
RootPopulationSizeScaler4	2875	3004	1	0.0322581	0.316943	
LeafPopulationSizeScaler4	3372	2557	1	0.0322581	0.613835	
RootPopulationSizeScaler5	3019	2859	1	0.0322581	0.300455	
LeafPopulationSizeScaler5	3917	1975	1	0.0322581	0.762234	
generation 25000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7998	0	10	0.322581	none	
TimeSizeRateMixer	11058	9521	5	0.16129	0.228544	
TimeRootSizeMixer	6214	6177	3	0.0967742	0.261687	
EventTimeScaler	41975	35411	1	0.0322581	0.549989	
RootPopulationSizeScaler0	4057	3280	1	0.0322581	0.279168	
LeafPopulationSizeScaler0	4485	2922	1	0.0322581	0.923663	
RootPopulationSizeScaler1	3768	3629	1	0.0322581	0.253455	
LeafPopulationSizeScaler1	4523	2813	1	0.0322581	0.250738	
RootPopulationSizeScaler2	3724	3643	1	0.0322581	0.307393	
LeafPopulationSizeScaler2	4723	2594	1	0.0322581	0.707683	
RootPopulationSizeScaler3	3767	3594	1	0.0322581	0.313703	
LeafPopulationSizeScaler3	5169	2165	1	0.0322581	0.858415	
RootPopulationSizeScaler4	3566	3778	1	0.0322581	0.3198	
LeafPopulationSizeScaler4	4154	3249	1	0.0322581	0.628386	
RootPopulationSizeScaler5	3740	3610	1	0.0322581	0.302624	
LeafPopulationSizeScaler5	4782	2576	1	0.0322581	0.788334	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	9598	0	10	0.322581	none	
TimeSizeRateMixer	13009	11482	5	0.16129	0.231033	
TimeRootSizeMixer	7418	7553	3	0.0967742	0.263662	
EventTimeScaler	49806	42982	1	0.0322581	0.55687	
RootPopulationSizeScaler0	4800	3966	1	0.0322581	0.282482	
LeafPopulationSizeScaler0	5316	3548	1	0.0322581	0.946414	
RootPopulationSizeScaler1	4455	4394	1	0.0322581	0.255248	
LeafPopulationSizeScaler1	5334	3455	1	0.0322581	0.256217	
RootPopulationSizeScaler2	4375	4426	1	0.0322581	0.30893	
LeafPopulationSizeScaler2	5552	3225	1	0.0322581	0.724251	
RootPopulationSizeScaler3	4442	4366	1	0.0322581	0.31543	
LeafPopulationSizeScaler3	6065	2698	1	0.0322581	0.887526	
RootPopulationSizeScaler4	4248	4562	1	0.0322581	0.321975	
LeafPopulationSizeScaler4	4902	3951	1	0.0322581	0.636175	
RootPopulationSizeScaler5	4437	4366	1	0.0322581	0.304408	
LeafPopulationSizeScaler5	5648	3155	1	0.0322581	0.810061	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11182	0	10	0.322581	none	
TimeSizeRateMixer	15198	13670	5	0.16129	0.233129	
TimeRootSizeMixer	8522	8763	3	0.0967742	0.265228	
EventTimeScaler	57656	50635	1	0.0322581	0.562592	
RootPopulationSizeScaler0	5574	4700	1	0.0322581	0.285723	
LeafPopulationSizeScaler0	6087	4265	1	0.0322581	0.960431	
RootPopulationSizeScaler1	5187	5125	1	0.0322581	0.257538	
LeafPopulationSizeScaler1	6177	4117	1	0.0322581	0.261182	
RootPopulationSizeScaler2	5098	5224	1	0.0322581	0.310871	
LeafPopulationSizeScaler2	6415	3875	1	0.0322581	0.738919	
RootPopulationSizeScaler3	5148	5180	1	0.0322581	0.316968	
LeafPopulationSizeScaler3	7008	3243	1	0.0322581	0.914864	
RootPopulationSizeScaler4	4934	5364	1	0.0322581	0.323312	
LeafPopulationSizeScaler4	5657	4681	1	0.0322581	0.643019	
RootPopulationSizeScaler5	5082	5203	1	0.0322581	0.304768	
LeafPopulationSizeScaler5	6505	3776	1	0.0322581	0.827581	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	12725	0	10	0.322581	none	
TimeSizeRateMixer	17241	15743	5	0.16129	0.23477	
