generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_W8	ln_likelihood_W8	ln_prior_W8	root_height_W8	mutation_rate_W8	freq_1_W8	pop_size_W8	pop_size_E8	pop_size_root_W8	root_height_index_E10	ln_likelihood_E10	ln_prior_E10	root_height_E10	mutation_rate_E10	freq_1_E10	pop_size_E10	pop_size_W10	pop_size_root_E10	root_height_index_E	ln_likelihood_E	ln_prior_E	root_height_E	mutation_rate_E	freq_1_E	pop_size_E	pop_size_W	pop_size_root_E	root_height_index_E13	ln_likelihood_E13	ln_prior_E13	root_height_E13	mutation_rate_E13	freq_1_E13	pop_size_E13	pop_size_W13	pop_size_root_E13	root_height_index_W14	ln_likelihood_W14	ln_prior_W14	root_height_W14	mutation_rate_W14	freq_1_W14	pop_size_W14	pop_size_E14	pop_size_root_W14
0	-9402.22430487031124	86.7354748843575436	6	7.5	0	-1084.64761842512871	9.42077653351350364	0.000175270878398945263	1	0.5	0.00661026027051227032	0.00661026027051227032	0.00603963649091236385	1	-4602.37028291268325	10.1367380947337367	0.0187324712755331732	1	0.5	0.00141816646752240491	0.00141816646752240491	0.00158308262904797168	2	-764.88545221238769	10.4655050974635557	0.00477718115732727808	1	0.5	0.00474968049550209513	0.00474968049550209513	0.00406409126905749127	3	-526.961835073343877	11.8365870878892139	0.00109851777706247841	1	0.5	0.00405734082165800421	0.00405734082165800421	0.0041716083826052134	4	-1481.65850599939154	10.2298296246253457	0.000690284539093946018	1	0.5	0.00261446216322272886	0.00261446216322272886	0.00313319361041760648	5	-941.700610247377199	11.3578588152381457	0.00159175126060537558	1	0.5	0.00231498436767616856	0.00231498436767616856	0.00256856794743385219
50	-8715.57715407882461	71.6997265253942402	5	7.5	0	-707.674342594602308	9.99038533843298282	0.0410555440745838038	1	0.5	0.00624000697918681863	0.0064557047344690581	0.00615413025154957268	1	-4522.07542930731142	6.94404266295589423	0.00252938852207432521	1	0.5	0.00148977463846188484	0.00160957557912548804	0.00202548332637614899	2	-723.504332616856573	9.85573644959507078	0.0199228591600093402	1	0.5	0.00494464959941250115	0.00422169376565177321	0.00374470014344178981	3	-519.673938009402946	11.9003246075688587	0.0089934093049139352	1	0.5	0.00344893962156618853	0.00387869861420558643	0.00384557444147124979	4	-1301.73824750507038	11.2659008021647757	0.0166243123712210145	1	0.5	0.00261428046803902601	0.00268321446619264499	0.0029920074612655276	1	-940.910864045582002	11.2812338947910789	0.00252938852207432521	1	0.5	0.00237350783024889737	0.00229913371878125942	0.00261082704030001162
100	-8672.51553102981052	62.6553289615769557	5	7.5	0	-701.859975757398161	10.4043512008512806	0.0383808431473724385	1	0.5	0.00587510642022331681	0.0058076405956849677	0.00607533561817292286	1	-4490.90603006901983	-6.11708260697066919	0.00326826291136080764	1	0.5	0.0017337408289502317	0.00173089888545993609	0.00294893066128358453	2	-721.905003185310761	11.548432747355335	0.0204146925368901902	1	0.5	0.00492085089643165205	0.00384948162720001857	0.00412652765907106471	3	-519.687909877947391	11.8282686222175002	0.0053718711175306591	1	0.5	0.00352931834775473303	0.00389922033335798716	0.00393273958869337723	2	-1302.19518326846264	11.1784647587607218	0.0204146925368901902	1	0.5	0.00284894298901396722	0.00254024635214964529	0.00306285837962713952	4	-935.961428871672183	11.4374954509962095	0.00255688353483815708	1	0.5	0.00195677755304159628	0.00199296923073779457	0.00211535627797699915
150	-8635.29220273934516	62.6378797471658118	6	7.5	0	-690.490282503336402	8.3343941326562323	0.0330118105862949873	1	0.5	0.00479270026777990892	0.00500610160677007147	0.00614904629283873072	1	-4471.71051800735222	-9.59145782041720452	0.00267406809023047363	1	0.5	0.00201864539102859786	0.00186700500805661021	0.00347505832724740111	2	-717.768038799168494	11.0304394539479489	0.0216684410384658174	1	0.5	0.00444546844084242696	0.00341757220433947309	0.00339368991866339587	3	-517.659415681738096	11.9973689531960872	0.00536973600377450237	1	0.5	0.00318737706520218385	0.00385007038291222551	0.00364791891646239338	4	-1302.29684445419139	12.1695203096029267	0.0211470370974205339	1	0.5	0.00277859950715126291	0.00269467087240663535	0.0027593374252177184	5	-935.367103293558216	11.2738191753749177	0.00183822495272637095	1	0.5	0.00176068119333114542	0.00196304608983535658	0.00200093697313324069
200	-8585.88529733674841	78.1297951983617622	6	7.5	0	-667.124839895807781	8.99917930817625233	0.0223613852164719629	1	0.5	0.00298258465058769172	0.00211505013850733	0.00320238171021042543	1	-4455.88079154218758	4.63962814987609917	0.00363509254844793153	1	0.5	0.00247713743781753258	0.00254280279820236731	0.00357994021244714819	2	-712.986268283171739	12.1166390118419898	0.0144615953492087026	1	0.5	0.0032880670295716511	0.00280291726536223938	0.00289913377053073939	3	-518.791778482093264	11.6837685874951731	0.00617618276552130748	1	0.5	0.00383727094316170568	0.00362030028473815787	0.00338048456606920194	4	-1299.45594093515842	10.8454539547037605	0.0156826559173274191	1	0.5	0.00136783844504739034	0.00232922639300176199	0.00164327317869996108	5	-931.645678198328937	10.2987878626600349	0.00216697816389991443	1	0.5	0.00166214150672495346	0.0018160569034979617	0.00147170892418655103
250	-8547.98908752890748	79.621839942347961	6	7.5	0	-660.308486039607374	11.6556416951162305	0.0251922981584825692	1	0.5	0.00222291666149756042	0.00175938845070172179	0.00204803799446250014	1	-4435.29221054941263	4.44127022641113811	0.00503205866239971131	1	0.5	0.00306489267139055215	0.00298574043080166666	0.0043432601917408227	2	-707.686589288964342	11.9300516358011564	0.018932212054650701	1	0.5	0.00303728618391979838	0.00200431346998494742	0.00258851286845850461	3	-514.429480947588559	11.9244921694431554	0.0053725463114676587	1	0.5	0.00324609958226583376	0.00300504073957561478	0.00286840755751477123	4	-1298.631687769878	11.4363429957547105	0.0175294617824919528	1	0.5	0.00141540277185850253	0.00228564960794532934	0.00184977592783057291	5	-931.64063293345589	9.64483937531498015	0.00199667778240320351	1	0.5	0.00112287337853970645	0.00163652977414677474	0.00157367284517349144
300	-8495.80821011968874	73.8536441634397249	6	7.5	0	-655.843483749835968	10.0663133537017409	0.0296258154174459491	1	0.5	0.00162187506882914383	0.00099088139050803486	0.00140741537162452517	1	-4406.65898696632212	2.27966271232667594	0.0085191049017505141	1	0.5	0.00407598179412152917	0.00504102308339515488	0.00676011357190311416	2	-702.435626117844208	11.1692521461815915	0.0198631756328926934	1	0.5	0.00174828582381571208	0.00160948238500816399	0.001769012376631639	3	-505.099857802078702	11.3516867349531161	0.0070219726686884254	1	0.5	0.00231159169460647086	0.00143630435457467237	0.00176525874172041644	4	-1299.08426684177925	11.5194447942667395	0.0209011606984511392	1	0.5	0.0023924125224875077	0.00164379837887474161	0.00211805758328837855	5	-926.685988641827294	10.4095848721082227	0.00343904837871646194	1	0.5	0.00239595867536241541	0.00104184462851515669	0.00153371154330926096
350	-8490.22912246031956	67.6705524486432211	4	7.5	0	-652.650993227035542	8.98790941723927972	0.0179277126887385264	1	0.5	0.000860259654393953892	0.00117421491780569194	0.000897878679252230917	1	-4401.81430756354348	9.03548383693881618	0.0119127567594109005	1	0.5	0.00584793428033860124	0.00664458534114315599	0.00713875415723301456	1	-704.782189632394761	9.02501074982301077	0.0119127567594109005	1	0.5	0.00151924716955635143	0.000833326666041772201	0.00133337559488831063	2	-507.751320830230554	11.3656401136102794	0.00914031636849587346	1	0.5	0.00251547216738960081	0.00169919522832438492	0.00227880493958015949	0	-1299.07165241034204	11.4926377756487774	0.0179277126887385264	1	0.5	0.00243228322357329566	0.00175131988167503104	0.00191608715137222933	3	-924.15865879677358	9.11065930099801591	0.00203291070585871888	1	0.5	0.00323459008553338536	0.000738433150860929579	0.00168213439040898081
400	-8478.0090495379518	77.5581348640279487	6	7.5	0	-647.549744382587733	8.73152963996939846	0.0259215934873531922	1	0.5	0.000530566312954415206	0.00135643064751599508	0.00095010475895815794	1	-4400.17095975287248	7.69496419849273749	0.0108772735453582983	1	0.5	0.00619447086164914666	0.00595928348590288488	0.00750124363615515145	2	-702.070089928120751	9.70653312983947458	0.017553713219547195	1	0.5	0.00123898440755459407	0.00089348670692916644	0.00110013798545285945	3	-505.864958718140599	11.7405590002734748	0.00774314955389511679	1	0.5	0.0020348271724493416	0.00190654074356980596	0.00197064847094338561	4	-1300.72326828117821	11.8646311005536589	0.0136462740031301141	1	0.5	0.00187250380032697394	0.00244158617301439181	0.00214445835787029559	5	-921.630028475051517	9.56763769722584811	0.00168246841094409072	1	0.5	0.00259511104430527667	0.000572693684665400967	0.00150859243914958628
450	-8476.15927714235295	69.3801936056322859	5	7.5	0	-647.402899045039931	8.33844186196024495	0.0303628697807844412	1	0.5	0.000481911785571146776	0.00123251382817453044	0.000856424541262492344	1	-4402.16665056097281	9.57824142490434127	0.0111081660623619047	1	0.5	0.00674612929352524492	0.00666789168597466727	0.0068452612121488619	2	-702.375245193775186	9.35327488537569351	0.0236145767561448672	1	0.5	0.00143933812366239355	0.00158749956454343481	0.00179507649998717259	3	-503.15386556597133	10.9499366023619302	0.00448360545317511537	1	0.5	0.00135262915295309588	0.00189292011675059896	0.00149619025666401177	2	-1299.6723974022234	11.4873044217153009	0.0236145767561448672	1	0.5	0.00223189792475168326	0.00183532086866349366	0.00217286189916523435	4	-921.388219374370124	7.50036836382377459	0.0024510626242818267	1	0.5	0.00206631267742512104	0.000649666379515238162	0.0010757629966996864
