generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1576	0	10	0.322581	none	
TimeSizeRateMixer	2401	1553	5	0.16129	0.200639	
TimeRootSizeMixer	1323	1180	3	0.0967742	0.25687	
EventTimeScaler	9244	6048	1	0.0322581	0.489035	
RootPopulationSizeScaler0	822	632	1	0.0322581	0.293564	
LeafPopulationSizeScaler0	1034	431	1	0.0322581	0.686875	
RootPopulationSizeScaler1	765	680	1	0.0322581	0.261204	
LeafPopulationSizeScaler1	764	676	1	0.0322581	0.314083	
RootPopulationSizeScaler2	779	671	1	0.0322581	0.290808	
LeafPopulationSizeScaler2	1109	346	1	0.0322581	0.486062	
RootPopulationSizeScaler3	809	638	1	0.0322581	0.292914	
LeafPopulationSizeScaler3	1118	326	1	0.0322581	0.734471	
RootPopulationSizeScaler4	801	655	1	0.0322581	0.286348	
LeafPopulationSizeScaler4	1035	420	1	0.0322581	0.439375	
RootPopulationSizeScaler5	848	607	1	0.0322581	0.269039	
LeafPopulationSizeScaler5	1043	391	1	0.0322581	0.616961	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3125	0	10	0.322581	none	
TimeSizeRateMixer	4544	3446	5	0.16129	0.214373	
TimeRootSizeMixer	2536	2502	3	0.0967742	0.265256	
EventTimeScaler	17386	13234	1	0.0322581	0.523641	
RootPopulationSizeScaler0	1572	1349	1	0.0322581	0.307923	
LeafPopulationSizeScaler0	1972	971	1	0.0322581	0.795439	
RootPopulationSizeScaler1	1452	1455	1	0.0322581	0.267194	
LeafPopulationSizeScaler1	1486	1424	1	0.0322581	0.323362	
RootPopulationSizeScaler2	1470	1446	1	0.0322581	0.299658	
LeafPopulationSizeScaler2	2104	815	1	0.0322581	0.57426	
RootPopulationSizeScaler3	1528	1392	1	0.0322581	0.30196	
LeafPopulationSizeScaler3	2109	794	1	0.0322581	0.872111	
RootPopulationSizeScaler4	1527	1408	1	0.0322581	0.297254	
LeafPopulationSizeScaler4	1991	956	1	0.0322581	0.503006	
RootPopulationSizeScaler5	1602	1308	1	0.0322581	0.286208	
LeafPopulationSizeScaler5	1951	945	1	0.0322581	0.703192	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4723	0	10	0.322581	none	
TimeSizeRateMixer	6670	5343	5	0.16129	0.222137	
TimeRootSizeMixer	3688	3881	3	0.0967742	0.267627	
EventTimeScaler	25346	20671	1	0.0322581	0.541006	
RootPopulationSizeScaler0	2307	2075	1	0.0322581	0.315382	
LeafPopulationSizeScaler0	2875	1553	1	0.0322581	0.850348	
RootPopulationSizeScaler1	2156	2218	1	0.0322581	0.27183	
LeafPopulationSizeScaler1	2145	2225	1	0.0322581	0.326088	
RootPopulationSizeScaler2	2188	2194	1	0.0322581	0.305142	
LeafPopulationSizeScaler2	3064	1311	1	0.0322581	0.625879	
RootPopulationSizeScaler3	2236	2165	1	0.0322581	0.306825	
LeafPopulationSizeScaler3	3067	1298	1	0.0322581	0.947784	
RootPopulationSizeScaler4	2217	2181	1	0.0322581	0.302982	
LeafPopulationSizeScaler4	2827	1575	1	0.0322581	0.533322	
RootPopulationSizeScaler5	2302	2065	1	0.0322581	0.292873	
LeafPopulationSizeScaler5	2826	1531	1	0.0322581	0.752846	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	6380	0	10	0.322581	none	
TimeSizeRateMixer	8827	7323	5	0.16129	0.2274	
TimeRootSizeMixer	4887	5268	3	0.0967742	0.269587	
EventTimeScaler	33523	28373	1	0.0322581	0.553156	
RootPopulationSizeScaler0	2983	2868	1	0.0322581	0.318157	
LeafPopulationSizeScaler0	3697	2213	1	0.0322581	0.883814	
RootPopulationSizeScaler1	2848	3004	1	0.0322581	0.273995	
LeafPopulationSizeScaler1	2826	3002	1	0.0322581	0.327795	
RootPopulationSizeScaler2	2871	2996	1	0.0322581	0.307956	
LeafPopulationSizeScaler2	3963	1896	1	0.0322581	0.657355	
RootPopulationSizeScaler3	2930	2946	1	0.0322581	0.308436	
LeafPopulationSizeScaler3	3984	1849	1	0.0322581	1.00185	
RootPopulationSizeScaler4	2961	2933	1	0.0322581	0.306775	
LeafPopulationSizeScaler4	3673	2213	1	0.0322581	0.554195	
RootPopulationSizeScaler5	3064	2791	1	0.0322581	0.298816	
LeafPopulationSizeScaler5	3727	2122	1	0.0322581	0.787914	
generation 25000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8024	0	10	0.322581	none	
TimeSizeRateMixer	10924	9312	5	0.16129	0.230881	
TimeRootSizeMixer	5948	6514	3	0.0967742	0.270883	
EventTimeScaler	41372	36054	1	0.0322581	0.561184	
RootPopulationSizeScaler0	3685	3607	1	0.0322581	0.321644	
LeafPopulationSizeScaler0	4509	2843	1	0.0322581	0.908968	
RootPopulationSizeScaler1	3541	3756	1	0.0322581	0.275333	
LeafPopulationSizeScaler1	3504	3778	1	0.0322581	0.329304	
RootPopulationSizeScaler2	3573	3734	1	0.0322581	0.310794	
LeafPopulationSizeScaler2	4828	2457	1	0.0322581	0.682094	
RootPopulationSizeScaler3	3622	3706	1	0.0322581	0.310652	
LeafPopulationSizeScaler3	4806	2470	1	0.0322581	1.03138	
RootPopulationSizeScaler4	3632	3663	1	0.0322581	0.309961	
LeafPopulationSizeScaler4	4477	2857	1	0.0322581	0.568962	
RootPopulationSizeScaler5	3704	3576	1	0.0322581	0.299869	
LeafPopulationSizeScaler5	4528	2744	1	0.0322581	0.808987	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	9596	0	10	0.322581	none	
TimeSizeRateMixer	13019	11460	5	0.16129	0.233198	
TimeRootSizeMixer	7013	7803	3	0.0967742	0.271556	
EventTimeScaler	49117	43637	1	0.0322581	0.567741	
RootPopulationSizeScaler0	4385	4389	1	0.0322581	0.322701	
LeafPopulationSizeScaler0	5374	3486	1	0.0322581	0.931866	
RootPopulationSizeScaler1	4244	4564	1	0.0322581	0.27679	
LeafPopulationSizeScaler1	4200	4582	1	0.0322581	0.330569	
RootPopulationSizeScaler2	4292	4510	1	0.0322581	0.312922	
LeafPopulationSizeScaler2	5691	3088	1	0.0322581	0.700438	
