generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_W8	ln_likelihood_W8	ln_prior_W8	root_height_W8	mutation_rate_W8	freq_1_W8	pop_size_W8	pop_size_E8	pop_size_root_W8	root_height_index_E10	ln_likelihood_E10	ln_prior_E10	root_height_E10	mutation_rate_E10	freq_1_E10	pop_size_E10	pop_size_W10	pop_size_root_E10	root_height_index_E	ln_likelihood_E	ln_prior_E	root_height_E	mutation_rate_E	freq_1_E	pop_size_E	pop_size_W	pop_size_root_E	root_height_index_E13	ln_likelihood_E13	ln_prior_E13	root_height_E13	mutation_rate_E13	freq_1_E13	pop_size_E13	pop_size_W13	pop_size_root_E13	root_height_index_W14	ln_likelihood_W14	ln_prior_W14	root_height_W14	mutation_rate_W14	freq_1_W14	pop_size_W14	pop_size_E14	pop_size_root_W14
0	-8980.79259245012508	82.7805611574845841	6	7.5	0	-872.081091253584759	10.4034410212861346	0.000500093424001596593	1	0.5	0.00123131025466779271	0.00123131025466779271	0.00122720317485606762	1	-4459.52556970051955	7.67559132155867729	0.00493156920774599859	1	0.5	0.00832270004916233971	0.00832270004916233971	0.00810794006464627716	2	-842.743128759647789	10.3028584378354608	0.00139875828397527748	1	0.5	0.00603164784703528155	0.00603164784703528155	0.0058122051225182516	3	-509.836974534046135	11.5461728800659102	0.00626275972119684325	1	0.5	0.00255928526117912142	0.00255928526117912142	0.00226630126927654255	4	-1353.22257105282893	10.2136321365869378	0.00853260285694029674	1	0.5	0.00519305359883263668	0.00519305359883263668	0.00447728856093211527	5	-943.383257149498036	9.89935620484560275	0.0109263981500430981	1	0.5	0.0012865087058422642	0.0012865087058422642	0.00113228005842918428
50	-8549.61356333321237	72.9815566574110619	5	7.5	0	-652.846500828548415	10.2414169023959332	0.0240654794350867521	1	0.5	0.00121302770322902881	0.00114566921962953763	0.00118152730045019611	1	-4405.48773310112847	7.5405179461430194	0.0149415295516959288	1	0.5	0.00783150376928080927	0.00776402870980127079	0.00677574440351362377	0	-732.591784167049582	9.8278427071239598	0.0240654794350867521	1	0.5	0.00562351843075319796	0.00581748425473573114	0.00496757940561240799	2	-510.354087502865639	11.7935415008152447	0.0113524404508375861	1	0.5	0.00232781859823464601	0.00254347810748583583	0.00223129333608057968	3	-1319.692465322006	11.4641227653926769	0.025281272774580494	1	0.5	0.00432565880146343514	0.0046042136460677386	0.00414494359593631581	4	-928.640992411613297	10.6413898737356547	0.00337856930141166006	1	0.5	0.00153811138326498528	0.00131968713153697548	0.00131750889791601
100	-8533.81057709487686	72.4846883517598286	5	7.5	0	-652.461212375623973	9.4937940780933765	0.0237960151634806459	1	0.5	0.00112032221716531805	0.00101128313329352138	0.000966654585729954507	1	-4402.75967304130063	7.98639145236881731	0.0135455082539556911	1	0.5	0.0079360645734428796	0.00706523444953843782	0.00835213421089221406	2	-727.619877654663242	10.0155275031412145	0.0217935864052361018	1	0.5	0.0052280555167409171	0.00501804012167153448	0.00433468194306239896	3	-508.461268662404507	11.923121723945254	0.00361261145396445148	1	0.5	0.00199603345693879575	0.00252306780167235517	0.0021846325805191932	4	-1313.52831201280969	11.4477628919187779	0.0235612530968373445	1	0.5	0.00357632627328321366	0.00444967873365320187	0.00360698087093834019	3	-928.980233348074307	10.8743340264739956	0.00361261145396445148	1	0.5	0.00161498346372099862	0.00127490926378438785	0.00146100128853948416
150	-8518.02571587084094	70.342368809275797	4	7.5	0	-653.281464110480783	9.52516755927043945	0.0219420407309584703	1	0.5	0.00118126047462016712	0.00100160527464772929	0.00118266705912291911	1	-4400.36764601233153	7.12877193261923026	0.0112692976768983023	1	0.5	0.00603480926892854472	0.00779031606841888366	0.00839571833267887917	0	-722.578432379240553	11.5859215878504713	0.0219420407309584703	1	0.5	0.00442560366390910495	0.00470169458494915701	0.00444633892287742138	2	-506.721307911116355	10.8837075580451987	0.00695455916595584187	1	0.5	0.00187501004460221025	0.00253060025951055588	0.00188508203721212916	0	-1308.03160227155695	11.8653190980734564	0.0219420407309584703	1	0.5	0.00309580232902033564	0.00379762515192724054	0.00366272111309029393	3	-927.045263186115676	10.2324469550861252	0.00310104211483267552	1	0.5	0.00174202125784488787	0.00119549896688204483	0.00129366943303814322
200	-8516.17502918793798	76.8621106163778478	6	7.5	0	-651.798932713500108	9.96596939675281135	0.0310716262983895992	1	0.5	0.00107320402948838495	0.00113877859227274692	0.00112778147312372033	1	-4402.02888802903544	7.95619562526145074	0.0133511593567119686	1	0.5	0.00656564749409096256	0.00811630742898847984	0.00829730509629746614	2	-719.394967861607597	10.1752338916324341	0.020522637439520354	1	0.5	0.00385885564815393071	0.00447984580606786576	0.00492928367626933699	3	-508.677572202857277	10.4299886033021885	0.00535872541744691205	1	0.5	0.00184593236772240873	0.00289966076900998295	0.00277853069553765132	4	-1308.32232014189208	11.7929370016136872	0.0204375020093121654	1	0.5	0.0026163390620321217	0.00447970994429062845	0.00368445692907563242	5	-925.952348239046273	9.77888380628567333	0.00157659976028477452	1	0.5	0.00144678464040907408	0.00107812773513408914	0.00111205568298904903
250	-8496.01243504446757	73.8131734643645956	5	7.5	0	-649.200753719360705	9.31563683178064039	0.0237752339632088389	1	0.5	0.00072334976798068423	0.00141033964347166423	0.00112988094689506365	1	-4400.49581681227937	7.61288186651121634	0.00941265839904478589	1	0.5	0.00596461730739086815	0.00695648933953338464	0.00786244782584706071	2	-716.449875593735783	11.0132326275965404	0.019823452801701693	1	0.5	0.00362376442414368699	0.00401018019442371098	0.00434213871636789095	3	-503.060580457708284	11.2724970359266656	0.00587265748579827562	1	0.5	0.00153289947594026691	0.00173292655519897759	0.00159111562110158199	2	-1301.20520000206557	11.367299030121309	0.019823452801701693	1	0.5	0.00171663850484196092	0.00325595177841467905	0.00270154549931571559	4	-925.600208459317514	9.9420301090791412	0.00196657884841370829	1	0.5	0.00135491147857472768	0.0010316611046269613	0.00127506618613032778
300	-8491.56721850593749	69.3597616286539989	4	7.5	0	-649.162938060472584	8.87568407422345373	0.0223403775060779519	1	0.5	0.000668991668848249537	0.00130279669073716619	0.000895154585985087061	1	-4401.02352031789633	9.14552824733426917	0.0103411420752218992	1	0.5	0.00638088220911311402	0.00653846036298691858	0.00721372619478103608	0	-711.588586110254028	10.8257204425371221	0.0223403775060779519	1	0.5	0.00275880254365983187	0.00377738113652353142	0.00378605387578326942	2	-502.408655224469896	11.0064315613796175	0.00809025242602171707	1	0.5	0.00148149751772564254	0.00154190076047776162	0.00144171665395756605	0	-1301.96730846488754	11.5011142080249016	0.0223403775060779519	1	0.5	0.00151000970683323439	0.00324426035808850774	0.00247672838188369099	3	-925.416210327957629	9.04621088730006306	0.00411478678608678296	1	0.5	0.00108644097378559224	0.000722759313356349125	0.000870621301147431778
350	-8478.94650491252469	75.8882833184173933	6	7.5	0	-648.208329002284472	9.10592645244769727	0.0247732630723180407	1	0.5	0.000604058864129518682	0.00141595053307977934	0.000977584647254345265	1	-4400.39674279367864	5.46800432305296624	0.0103035425027003524	1	0.5	0.00676936266784441878	0.00515523600407249549	0.00795589699388105261	2	-706.473313157557527	12.0643127274073336	0.0214368622969313451	1	0.5	0.00216636089464196683	0.00294084337184117054	0.0025067471276701888	3	-502.315959830446502	10.9821495546169565	0.00703630243815582621	1	0.5	0.00148440388034694597	0.00154284472474197133	0.00156557424863100762	4	-1298.83475978958177	11.5396369899023021	0.0175742009135632649	1	0.5	0.00169998693403739095	0.00249111171159250872	0.00193960403127353426	5	-922.717400338975381	9.08466116088872511	0.00238718087227859747	1	0.5	0.00116059146187589895	0.000715047714125600573	0.000970819150638914472
400	-8480.8587648731791	67.2669487646290349	4	7.5	0	-651.69396941518005	10.0384905211623163	0.0217720375297769421	1	0.5	0.000738262593908261817	0.00237705571804584575	0.00162948007363489353	1	-4401.25639069451427	6.90510284676602026	0.00915778207065110796	1	0.5	0.00617717986103096754	0.0049877222335398862	0.00721044143006536759	2	-704.325082066398636	11.7466091674901385	0.0179665453772516331	1	0.5	0.00201063567437573774	0.00221428353835695022	0.00198660923082565489	1	-501.730971476636398	9.89996357718452202	0.00915778207065110796	1	0.5	0.00130726501984928297	0.00136235239268704352	0.00149454987814860458	2	-1297.9595618531157	11.6794288118239891	0.0179665453772516331	1	0.5	0.00190259742714771456	0.00205551055834142949	0.00203574331920341849	3	-923.892789367334785	9.28381698591502058	0.00151407554580469	1	0.5	0.00225758301068537757	0.000771561076875624282	0.00129903650584045822
450	-8479.57320686717685	69.7754237525388845	5	7.5	0	-648.003716637242633	8.89491154996306221	0.0277119056701242809	1	0.5	0.000590250912236748118	0.00151870454815097151	0.000966328938606012596	1	-4401.41545477727595	8.33655084656562906	0.00951700963258769565	1	0.5	0.00537628677804680589	0.00686402129110033361	0.00731333164810042853	2	-703.251629635500535	10.6536103196137404	0.0183074734253844719	1	0.5	0.00138581170067673476	0.00247804295525087684	0.00167915002686184469	3	-503.246431167140997	8.96475093062957384	0.0027727321711387763	1	0.5	0.00111749601335731585	0.00167577724270785017	0.00113912357801408486	4	-1297.77316958994084	11.3684680904203752	0.0181037266710724412	1	0.5	0.00151269626501534973	0.00189236195847888151	0.00169465397880829219	3	-925.882805060076521	9.82376265921146441	0.0027727321711387763	1	0.5	0.00412485225213791475	0.000668197246473171231	0.00230206574238953077
500	-8475.10640405337472	64.5275643230328768	4	7.5	0	-649.102500711974585	9.66244551709991839	0.024950321946526105	1	0.5	0.000631205665364095877	0.00195796602220728311	0.00129252797544194783	1	-4401.19012438780737	8.35210689450017441	0.0104285566396983293	1	0.5	0.00722481505404207885	0.00664387647760783517	0.0078942779038892897	0	-704.379268642701732	11.5256798422387199	0.024950321946526105	1	0.5	0.00143372718322564352	0.00267874531562446077	0.00199652327610520949	2	-499.409123843328302	7.75005496275654338	0.00409272444922312642	1	0.5	0.000643056340893969551	0.0012690437613283043	0.000798774449752885467	0	-1300.84167928236593	10.2544438050382603	0.024950321946526105	1	0.5	0.00123061365981824993	0.00207095816908230233	0.0014270397520501619	3	-920.18370718519634	7.80556100473367209	0.00323295486985061224	1	0.5	0.00237117569095499038	0.000421923129042009926	0.00119327509219138987
550	-8469.01393547838779	69.2317694951720597	6	7.5	0	-651.920373175165651	10.1165869583089432	0.0320781458726643043	1	0.5	0.000965601752374242728	0.00211824656638523933	0.00136902018936095561	1	-4398.98780541657015	5.40276475530473377	0.0111663115591790884	1	0.5	0.00670518913369825241	0.00617453111618370028	0.00849747245873966849	2	-702.556437796276896	10.749011997457135	0.01551977301943166	1	0.5	0.00155307289895383277	0.00146444584462379797	0.00137705262834207187	3	-498.871919232506855	8.0405628295596685	0.00844792474564327357	1	0.5	0.000951851189997295869	0.0009668604379850967	0.000798283781146581447	4	-1298.65127449567626	10.3348173791996416	0.0194985155148368755	1	0.5	0.00122314984796053901	0.00171901260410883307	0.00130532571760224301	5	-918.026125362191806	7.46182494782645023	0.00197459621005156502	1	0.5	0.00159961830324589706	0.000316126198565103069	0.0010093352352664375
600	-8481.98280002950378	73.1989610982098071	5	7.5	0	-655.210473996982046	11.3439040080016511	0.0255797648775983634	1	0.5	0.00149577761156795882	0.00189579496979003464	0.00170420640052418412	1	-4401.81883803373603	9.5850232824220889	0.0104017709153962582	1	0.5	0.00668756050693391276	0.00619979917542618029	0.00690745651161013812	0	-703.224385231326892	10.4703212568442687	0.0255797648775983634	1	0.5	0.00132619562382690253	0.00218920275297534257	0.00152420704220764609	2	-497.172214520072544	7.79422274690056938	0.00643209533024377989	1	0.5	0.000627722785078907095	0.000703683036775181727	0.000639824851581613811	3	-1299.30458431209968	10.7905242933203631	0.015566627531553575	1	0.5	0.00128009905895685701	0.00210998409030752499	0.00152821427055896257	4	-925.252303935286818	10.0692649886669656	0.00430927725632702496	1	0.5	0.00204698415937868685	0.000812818853588740363	0.0013237017241753018
650	-8482.26199329630799	65.2812240480751456	5	7.5	0	-655.395377581280172	10.9172583400276757	0.0259232491902310937	1	0.5	0.00160912611154529579	0.00129613840328408913	0.00142782763513773039	1	-4405.08615772004578	8.8155181071051345	0.015448182804632879	1	0.5	0.00734484532573742663	0.00727037845993964722	0.00688058207809265875	1	-702.053046849263865	10.0795729978318036	0.015448182804632879	1	0.5	0.000908784170701142069	0.00181094667024242332	0.00145655847467733471	2	-499.046937298137095	6.19639968694716359	0.0108899205698822256	1	0.5	0.0013176381844039848	0.000474369863087439664	0.000712151155730330167	3	-1299.87829744687815	11.4666315413542215	0.0239465385434058445	1	0.5	0.00151975471376060867	0.00233034845734654376	0.00182276649543661076	4	-920.80217640070407	6.34532729173399801	0.00293348919275473845	1	0.5	0.00322500149408978158	0.000280054956647357047	0.00205071813778161596
700	-8479.2834986138696	66.2780896290731931	4	7.5	0	-652.444769664372416	9.16554614779055044	0.0207032163347934395	1	0.5	0.000976169176873654325	0.00187306502259267592	0.00166248999768813899	1	-4400.93671517150142	9.11332850607846723	0.0112116452226553361	1	0.5	0.00639736161976630496	0.00643916255757814426	0.00720996475685418015	0	-703.864438537317483	10.2161901855291006	0.0207032163347934395	1	0.5	0.00206923654314650034	0.00199155771349197788	0.00167091658118916032	2	-501.428161186379555	9.83563661612028284	0.00705499301881556701	1	0.5	0.00203437682854034621	0.000769448420816944492	0.00127850269670104987	0	-1298.89442894324657	11.4627579582581447	0.0207032163347934395	1	0.5	0.00159609904396361933	0.00241746767292871445	0.00211381527095220101	3	-921.714985111052442	7.02470104569183107	0.000908134599641414217	1	0.5	0.00241839482506805243	0.000419066606713520192	0.0016894824073162471
750	-8474.62107158981416	68.0657092187467896	4	7.5	0	-649.024296674088987	8.59769270903554528	0.0201202744159629208	1	0.5	0.000484153939644760788	0.00184416729361807871	0.00125272608157532355	1	-4402.68673878595655	8.81467007465798957	0.0112562477665386074	1	0.5	0.00766295314895941611	0.00697914511553434942	0.00758021902291849438	0	-701.727962467265115	10.3783039248377555	0.0201202744159629208	1	0.5	0.00135754520919066039	0.00111165250773459642	0.0012078820125275612	2	-503.340169750713471	10.8920825085672348	0.00302018047937448793	1	0.5	0.00134670610718972891	0.00151365485114795389	0.0014285557903095747	0	-1298.38789929022255	10.9736576374153429	0.0201202744159629208	1	0.5	0.00162891833032259136	0.00223402032935555821	0.00214123834087923083	3	-919.454004621566924	8.54319264841722514	0.00141948105192113731	1	0.5	0.00201065312220760671	0.000425044042856105022	0.00113646264076087858
800	-8472.20133990424256	62.93460523528789	4	7.5	0	-650.40308124730484	8.42803966711250396	0.0167458931148140623	1	0.5	0.00048298716787509695	0.00147761406477528098	0.00103651568350104743	1	-4402.08006939779625	8.45417106664672602	0.00858868381815636704	1	0.5	0.005777360898605346	0.00658464911892424256	0.00733169324769986867	2	-703.153060669866818	9.86430380347788827	0.0129705964415538482	1	0.5	0.00120961092173444557	0.00122878162171322536	0.00108903753336676368	1	-499.570182997067548	8.63526918676765831	0.00858868381815636704	1	0.5	0.000553972210273578512	0.001217063289717052	0.000898754805595205542	0	-1298.57682285824194	11.0458974585821998	0.0167458931148140623	1	0.5	0.00220818511221883285	0.00195380637289734862	0.00233291381069288027	3	-918.418122733965106	7.73260839800720134	0.00149747914489328326	1	0.5	0.00339013261539309338	0.000285173261195965737	0.00173465373690361913
