model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5	0.293214	0.293214	0.194735	1.71551
0,1,2,3,2,4	0.2075	0.500714	0.025858	9.86384
0,1,0,2,0,3	0.122143	0.622857	0.006976	19.806
0,1,0,2,3,4	0.119286	0.742143	0.025699	5.13488
0,1,2,3,0,4	0.0825	0.824643	0.026128	3.35153
0,1,2,1,3,4	0.0385714	0.863214	0.025902	1.50875
0,1,2,1,2,3	0.0282143	0.891429	0.003476	8.32351
0,1,1,2,3,4	0.0160714	0.9075	0.026026	0.611267
0,1,0,1,0,2	0.0157143	0.923214	0.000953	16.7366
0,1,2,3,1,4	0.0128571	0.936071	0.026185	0.484382
0,1,0,1,2,3	0.00892857	0.945	0.003386	2.65166
0,1,2,3,2,3	0.00892857	0.953929	0.003441	2.60913
0,1,2,1,0,3	0.00857143	0.9625	0.00342	2.51929
0,1,2,3,4,3	0.00857143	0.971071	0.025977	0.324169
0,1,0,2,3,2	0.005	0.976071	0.003527	1.41973
0,1,0,2,1,3	0.00392857	0.98	0.003433	1.14492
0,1,1,2,0,3	0.00357143	0.983571	0.003503	1.0196
0,1,0,2,0,2	0.00321429	0.986786	0.000929	3.46787
0,1,1,2,1,3	0.00285714	0.989643	0.006796	0.418755
0,1,2,3,0,3	0.00178571	0.991429	0.003449	0.516886
0,1,2,2,3,4	0.00142857	0.992857	0.026037	0.0535149
0,1,2,3,3,4	0.00142857	0.994286	0.025908	0.0537884
0,1,1,2,3,2	0.000714286	0.995	0.003468	0.205397
0,1,1,1,2,3	0.000714286	0.995714	0.007046	0.100732
0,1,2,2,2,3	0.000714286	0.996429	0.006865	0.103407
0,1,1,2,2,3	0.000357143	0.996786	0.003392	0.10497
0,1,2,2,0,3	0.000357143	0.997143	0.00346	0.1029
0,1,2,1,1,3	0.000357143	0.9975	0.006854	0.0517686
0,1,1,1,1,2	0.000357143	0.997857	0.002786	0.127881
0,1,1,1,0,2	0.000357143	0.998214	0.000881	0.405171
0,1,0,2,2,3	0.000357143	0.998571	0.003458	0.10296
0,0,1,2,1,3	0.000357143	0.998929	0.003418	0.104169
0,0,1,0,0,2	0.000357143	0.999286	0.002855	0.124781
0,0,0,1,2,3	0.000357143	0.999643	0.006906	0.0513761
0,0,0,1,0,2	0.000357143	1	0.002775	0.128389
