generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1662	0	10	0.344828	none	
TimeSizeRateMixer	2476	1930	5	0.172414	0.224639	
TimeRootSizeMixer	1249	1194	3	0.103448	0.264244	
EventTimeScaler	8894	6495	1	0.0344828	0.442192	
RootPopulationSizeScaler0	882	769	1	0.0344828	0.294734	
LeafPopulationSizeScaler0	996	653	1	0.0344828	0.513399	
RootPopulationSizeScaler1	906	728	1	0.0344828	0.278389	
LeafPopulationSizeScaler1	1057	578	1	0.0344828	0.632007	
RootPopulationSizeScaler2	977	651	1	0.0344828	0.239857	
LeafPopulationSizeScaler2	1000	639	1	0.0344828	0.444093	
RootPopulationSizeScaler3	926	703	1	0.0344828	0.300656	
LeafPopulationSizeScaler3	1328	315	1	0.0344828	0.530156	
RootPopulationSizeScaler4	888	750	1	0.0344828	0.245424	
LeafPopulationSizeScaler4	971	687	1	0.0344828	0.421935	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3401	0	10	0.344828	none	
TimeSizeRateMixer	4431	3905	5	0.172414	0.233779	
TimeRootSizeMixer	2421	2521	3	0.103448	0.269822	
EventTimeScaler	16778	13915	1	0.0344828	0.467065	
RootPopulationSizeScaler0	1655	1563	1	0.0344828	0.305853	
LeafPopulationSizeScaler0	1847	1340	1	0.0344828	0.553122	
RootPopulationSizeScaler1	1673	1485	1	0.0344828	0.287264	
LeafPopulationSizeScaler1	1935	1225	1	0.0344828	0.696307	
RootPopulationSizeScaler2	1767	1402	1	0.0344828	0.254401	
LeafPopulationSizeScaler2	1839	1348	1	0.0344828	0.478603	
RootPopulationSizeScaler3	1678	1494	1	0.0344828	0.310663	
LeafPopulationSizeScaler3	2411	785	1	0.0344828	0.632129	
RootPopulationSizeScaler4	1693	1497	1	0.0344828	0.258842	
LeafPopulationSizeScaler4	1748	1438	1	0.0344828	0.44758	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5122	0	10	0.344828	none	
TimeSizeRateMixer	6538	5973	5	0.172414	0.239675	
TimeRootSizeMixer	3511	3889	3	0.103448	0.27086	
EventTimeScaler	24652	21677	1	0.0344828	0.479882	
RootPopulationSizeScaler0	2391	2386	1	0.0344828	0.310665	
LeafPopulationSizeScaler0	2696	2047	1	0.0344828	0.576264	
RootPopulationSizeScaler1	2432	2307	1	0.0344828	0.292205	
LeafPopulationSizeScaler1	2837	1891	1	0.0344828	0.734933	
RootPopulationSizeScaler2	2521	2200	1	0.0344828	0.260815	
LeafPopulationSizeScaler2	2667	2097	1	0.0344828	0.495807	
RootPopulationSizeScaler3	2452	2287	1	0.0344828	0.317402	
LeafPopulationSizeScaler3	3458	1297	1	0.0344828	0.694574	
RootPopulationSizeScaler4	2468	2297	1	0.0344828	0.26601	
LeafPopulationSizeScaler4	2544	2212	1	0.0344828	0.459755	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	6847	0	10	0.344828	none	
TimeSizeRateMixer	8486	8010	5	0.172414	0.242881	
TimeRootSizeMixer	4606	5151	3	0.103448	0.272819	
EventTimeScaler	32239	29345	1	0.0344828	0.487509	
RootPopulationSizeScaler0	3097	3190	1	0.0344828	0.313146	
LeafPopulationSizeScaler0	3489	2774	1	0.0344828	0.59036	
RootPopulationSizeScaler1	3193	3081	1	0.0344828	0.296027	
LeafPopulationSizeScaler1	3657	2571	1	0.0344828	0.757817	
RootPopulationSizeScaler2	3323	2926	1	0.0344828	0.26575	
LeafPopulationSizeScaler2	3482	2817	1	0.0344828	0.508012	
RootPopulationSizeScaler3	3150	3102	1	0.0344828	0.319147	
LeafPopulationSizeScaler3	4462	1814	1	0.0344828	0.735494	
RootPopulationSizeScaler4	3226	3048	1	0.0344828	0.270335	
LeafPopulationSizeScaler4	3297	2960	1	0.0344828	0.468211	
generation 25000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8593	0	10	0.344828	none	
TimeSizeRateMixer	10388	10071	5	0.172414	0.245302	
TimeRootSizeMixer	5761	6604	3	0.103448	0.273517	
EventTimeScaler	39909	37208	1	0.0344828	0.493462	
RootPopulationSizeScaler0	3818	4019	1	0.0344828	0.31507	
LeafPopulationSizeScaler0	4268	3547	1	0.0344828	0.598509	
RootPopulationSizeScaler1	3935	3906	1	0.0344828	0.298428	
LeafPopulationSizeScaler1	4491	3292	1	0.0344828	0.77353	
RootPopulationSizeScaler2	4099	3720	1	0.0344828	0.269775	
LeafPopulationSizeScaler2	4262	3578	1	0.0344828	0.517442	
RootPopulationSizeScaler3	3875	3925	1	0.0344828	0.320976	
LeafPopulationSizeScaler3	5462	2370	1	0.0344828	0.769075	
RootPopulationSizeScaler4	3992	3816	1	0.0344828	0.273133	
LeafPopulationSizeScaler4	4090	3740	1	0.0344828	0.475171	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10362	0	10	0.344828	none	
TimeSizeRateMixer	12179	11959	5	0.172414	0.247271	
TimeRootSizeMixer	6871	7970	3	0.103448	0.273511	
EventTimeScaler	47420	45104	1	0.0344828	0.497856	
RootPopulationSizeScaler0	4558	4769	1	0.0344828	0.317668	
LeafPopulationSizeScaler0	5002	4268	1	0.0344828	0.605414	
RootPopulationSizeScaler1	4649	4665	1	0.0344828	0.300666	
LeafPopulationSizeScaler1	5297	3968	1	0.0344828	0.786982	
RootPopulationSizeScaler2	4844	4438	1	0.0344828	0.273346	
LeafPopulationSizeScaler2	5029	4276	1	0.0344828	0.52538	
RootPopulationSizeScaler3	4509	4759	1	0.0344828	0.321547	
LeafPopulationSizeScaler3	6353	2942	1	0.0344828	0.792873	
RootPopulationSizeScaler4	4720	4566	1	0.0344828	0.275421	
LeafPopulationSizeScaler4	4808	4491	1	0.0344828	0.47943	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	12103	0	10	0.344828	none	
TimeSizeRateMixer	14135	14159	5	0.172414	0.2485	
TimeRootSizeMixer	8036	9336	3	0.103448	0.274113	
EventTimeScaler	55039	53223	1	0.0344828	0.501518	
RootPopulationSizeScaler0	5318	5595	1	0.0344828	0.31935	
LeafPopulationSizeScaler0	5761	5083	1	0.0344828	0.609859	
RootPopulationSizeScaler1	5402	5489	1	0.0344828	0.302911	
LeafPopulationSizeScaler1	6165	4682	1	0.0344828	0.798539	
RootPopulationSizeScaler2	5607	5248	1	0.0344828	0.275296	
LeafPopulationSizeScaler2	5880	5001	1	0.0344828	0.532571	
RootPopulationSizeScaler3	5268	5585	1	0.0344828	0.322741	
LeafPopulationSizeScaler3	7331	3590	1	0.0344828	0.814757	
RootPopulationSizeScaler4	5499	5391	1	0.0344828	0.277462	
LeafPopulationSizeScaler4	5563	5320	1	0.0344828	0.482643	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13772	0	10	0.344828	none	
TimeSizeRateMixer	16102	16210	5	0.172414	0.249855	
TimeRootSizeMixer	9214	10728	3	0.103448	0.274755	
EventTimeScaler	62418	61081	1	0.0344828	0.504415	
RootPopulationSizeScaler0	6036	6462	1	0.0344828	0.319724	
LeafPopulationSizeScaler0	6538	5881	1	0.0344828	0.613854	
RootPopulationSizeScaler1	6158	6319	1	0.0344828	0.304211	
LeafPopulationSizeScaler1	7046	5386	1	0.0344828	0.809574	
RootPopulationSizeScaler2	6376	6048	1	0.0344828	0.27686	
LeafPopulationSizeScaler2	6677	5770	1	0.0344828	0.537815	
RootPopulationSizeScaler3	5994	6424	1	0.0344828	0.323885	
LeafPopulationSizeScaler3	8295	4219	1	0.0344828	0.832864	
RootPopulationSizeScaler4	6247	6213	1	0.0344828	0.278622	
LeafPopulationSizeScaler4	6345	6110	1	0.0344828	0.486231	
generation 45000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15538	0	10	0.344828	none	
TimeSizeRateMixer	17944	18224	5	0.172414	0.250989	
TimeRootSizeMixer	10320	12071	3	0.103448	0.275406	
EventTimeScaler	69860	69095	1	0.0344828	0.506948	
RootPopulationSizeScaler0	6708	7289	1	0.0344828	0.320301	
LeafPopulationSizeScaler0	7304	6646	1	0.0344828	0.618031	
RootPopulationSizeScaler1	6907	7083	1	0.0344828	0.306253	
LeafPopulationSizeScaler1	7863	6081	1	0.0344828	0.818342	
RootPopulationSizeScaler2	7103	6812	1	0.0344828	0.278332	
LeafPopulationSizeScaler2	7415	6546	1	0.0344828	0.540849	
RootPopulationSizeScaler3	6719	7214	1	0.0344828	0.324839	
LeafPopulationSizeScaler3	9141	4908	1	0.0344828	0.845751	
RootPopulationSizeScaler4	6988	7006	1	0.0344828	0.280055	
LeafPopulationSizeScaler4	7098	6871	1	0.0344828	0.488836	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	17311	0	10	0.344828	none	
TimeSizeRateMixer	19814	20297	5	0.172414	0.252189	
TimeRootSizeMixer	11433	13427	3	0.103448	0.275549	
EventTimeScaler	77429	77121	1	0.0344828	0.50927	
RootPopulationSizeScaler0	7443	8082	1	0.0344828	0.321465	
