generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_W1	ln_likelihood_W1	ln_prior_W1	root_height_W1	mutation_rate_W1	freq_1_W1	pop_size_W1	pop_size_E1	pop_size_root_W1	root_height_index_W2	ln_likelihood_W2	ln_prior_W2	root_height_W2	mutation_rate_W2	freq_1_W2	pop_size_W2	pop_size_E2	pop_size_root_W2	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_E4	ln_likelihood_E4	ln_prior_E4	root_height_E4	mutation_rate_E4	freq_1_E4	pop_size_E4	pop_size_W4	pop_size_root_E4	root_height_index_W6	ln_likelihood_W6	ln_prior_W6	root_height_W6	mutation_rate_W6	freq_1_W6	pop_size_W6	pop_size_E6	pop_size_root_W6
0	-7404.40096225470825	70.925432664277011	5	7.5	0	-1414.00851744994839	11.9733285056369283	0.00316237759193596429	1	0.5	0.00225643279755444745	0.00225643279755444745	0.00219352935630182967	1	-1248.1339167621577	8.55099954415406671	0.0104914002563434427	1	0.5	0.000827233154181316287	0.000827233154181316287	0.000881684891584963719	2	-2286.80515879336872	11.8629255677358998	0.0245583992923452017	1	0.5	0.00238745499532456865	0.00238745499532456865	0.00221530622131862207	3	-991.901990761203592	11.9893127384681861	0.00571422132416524956	1	0.5	0.0038830119278378105	0.0038830119278378105	0.00380908322323464691	4	-1463.55137848802974	9.13844496207833856	0.000973215647914996975	1	0.5	0.00709109506010900323	0.00709109506010900323	0.00725068648316939696
50	-6854.34700284017526	49.8455077453154658	3	7.5	0	-1162.37915894635398	10.3276281681874558	0.0407996970631922043	1	0.5	0.00217854963092869785	0.00222668545034442012	0.00259982567348343054	1	-1238.31003376602257	5.39427834967677455	0.00268534740814407391	1	0.5	0.000768517333106346788	0.000840304797657973686	0.00102023164986376558	1	-2253.69427998822084	11.9861244556462267	0.00268534740814407391	1	0.5	0.00270737363263520584	0.00228049967841045115	0.00235600660164194363	0	-879.921679951671308	11.7410234567208924	0.0407996970631922043	1	0.5	0.00334835365128287148	0.00386342093217501709	0.00387715678075513511	2	-1320.04185018790622	7.41344942455333111	0.0132872800674893512	1	0.5	0.00704031123493812326	0.00696049527773332736	0.0083706690100014778
100	-6841.0062242371514	49.4564770127373805	4	7.5	0	-1152.21751650381225	9.94287825907032285	0.0662781824813968995	1	0.5	0.00229059932958902744	0.00243968846791953447	0.00285857753419345266	1	-1239.82769655793413	7.44825354434285103	0.00323102558927989246	1	0.5	0.000765738425412489597	0.00101519957082789845	0.00105163932723292526	1	-2252.53993907152744	11.3848508870653298	0.00323102558927989246	1	0.5	0.00281239210636143955	0.00242697163944377136	0.00228571926277044589	2	-876.68094329833707	12.0501232557216511	0.0470942487125878273	1	0.5	0.00319808137059133211	0.003493935017595286	0.00347722236048415238	3	-1319.74012880554028	5.97259986013574462	0.00962192666215777072	1	0.5	0.00681701946972601037	0.00723760990211152946	0.00890754339389354145
150	-6835.85957017704823	62.1117151796250866	5	7.5	0	-1151.48528265588448	12.0123655257412523	0.0718677849255439094	1	0.5	0.0022873473511385461	0.00294144211872033679	0.00270485347130498127	1	-1238.65048211984981	9.02596745503439379	0.00190646744365726307	1	0.5	0.0008548710201538546	0.0010194804760278336	0.00100279779679128631	2	-2253.39764903600508	11.1266459114629193	0.001953611822714388	1	0.5	0.0029223886681594524	0.00249395955536384304	0.00231175433106509641	3	-873.128034846573541	12.1476118977091403	0.0468975698343440453	1	0.5	0.00284629419002413713	0.00324717150291474509	0.00311329425136041464	4	-1319.19812151873521	9.38964923119777239	0.0122836419636849492	1	0.5	0.00616041954604833793	0.00761094384225295944	0.00686030387288393689
200	-6806.7994760982383	62.6863718762837649	5	7.5	0	-1152.09327667233947	11.9761123323010281	0.0745848429729454171	1	0.5	0.0026547430853548909	0.00374434158824715974	0.00300534610498974552	1	-1240.31581489492919	9.38004759445817982	0.00161465096195166158	1	0.5	0.000793966543116563232	0.00124264201041443295	0.000951416290507906969	2	-2232.09643260705843	10.7155278881959255	0.00531700195804391592	1	0.5	0.00517716377696328563	0.00249435232103282535	0.00330613436032581483	3	-866.382657535144062	11.7687526115240146	0.0350169052177012954	1	0.5	0.00237686618016721149	0.00247272254898774774	0.00221416789253350756	4	-1315.91129438876806	9.45830965677854962	0.00859420853383774559	1	0.5	0.00489399195157348959	0.00733022306697678726	0.00678667769566229998
250	-6787.99878310184249	56.5443244831544405	5	7.5	0	-1151.95361371049671	12.0194688866405102	0.0815738950832519821	1	0.5	0.00259199110764712871	0.00320719422456619595	0.00271312746648030281	1	-1239.33363267924392	7.57486957849743092	0.003476870293764164	1	0.5	0.00144352654183790255	0.000772903848510982853	0.00134236241063516774	2	-2223.23170546233951	8.97053165432907917	0.00353738413765454854	1	0.5	0.00895269478709259485	0.00219568811052253373	0.00501646613257103122	3	-860.486695628343796	11.3601025664462902	0.0407530197024920313	1	0.5	0.00198449724755247678	0.00200081553320790142	0.00215802662273171511	4	-1312.99313562141811	8.47304820004440984	0.00819962238561073968	1	0.5	0.00372857799467589141	0.00527045849426274315	0.00566038248010424308
300	-6791.26411171588552	60.6791564621863202	5	7.5	0	-1152.67044165008656	11.4877635133629177	0.0740823614223488913	1	0.5	0.00255911150064532748	0.00414094834778848311	0.00366597655443381271	1	-1240.1706285203436	9.0283107652119341	0.00281100963311956172	1	0.5	0.000752872352981757455	0.00118429356451048881	0.00103682242761505379	2	-2221.78557732140553	7.86169177906968031	0.00335655786816497831	1	0.5	0.0077325630531238157	0.00134331722456947729	0.00537842791602743432	3	-860.837514679900323	11.373673003890751	0.0321811590994575819	1	0.5	0.0014858012915492842	0.00218920150062730957	0.00173485809717270037	4	-1315.79994954414883	11.1519289584296217	0.00881485512943542583	1	0.5	0.00386606972276406016	0.00603630393121235616	0.0049892356291560561
350	-6786.02091956036293	57.4178514502419475	5	7.5	0	-1156.96725121810914	11.5246612243948654	0.0588064953467581988	1	0.5	0.00404147711787648713	0.00363627130919125545	0.00343837838716291909	1	-1242.49969415726559	11.0643145958848308	0.00290084254140513366	1	0.5	0.00223286076540044065	0.00125211578712254188	0.00182336665032292278	2	-2220.70834742077022	8.22370565060371561	0.00339153563080871363	1	0.5	0.00813220660843502231	0.00125469124808250294	0.00402381571682905448	3	-853.98864534834172	9.52780767774295967	0.0310635945430195251	1	0.5	0.000753059187769914893	0.00153641789132662101	0.00105618978732918201	4	-1311.85698141587659	5.65489432309766471	0.00861667972757003409	1	0.5	0.00367428912179228444	0.00656414508018926188	0.00690725008870007526
400	-6782.9550382541147	62.0261841333786705	5	7.5	0	-1153.08419426554315	11.8744838295759116	0.060765365347972583	1	0.5	0.00181910378745779372	0.00275356318445918154	0.00223785033451659888	1	-1237.7335217762577	9.75438846642948576	0.00154467701898567929	1	0.5	0.00183928533526462592	0.000694527481370410451	0.00130065901671998566	2	-2220.2578100804476	8.5093905978347486	0.00234933981313476155	1	0.5	0.00871612585250507166	0.0010597583282292598	0.00488374207919590325	3	-854.272478029868466	9.80823210104951926	0.0351531586666869594	1	0.5	0.00078945942898925672	0.00183242366090611165	0.00140104600540992487	4	-1317.60703410199812	10.9340387631848337	0.00773478297491880622	1	0.5	0.00540525721109492464	0.00513060771687971068	0.00547371908922635302
450	-6785.03731563523434	56.1876591831795764	4	7.5	0	-1152.66362486198409	11.8933354274503742	0.0662224006155589379	1	0.5	0.00279805480420022585	0.00240729227978955318	0.00276158342424188876	1	-1241.68718754640463	10.5459403294849317	0.00330089137670603813	1	0.5	0.00338598259748490492	0.00084958781734432564	0.00212376022401235829	1	-2220.89981234381366	8.87919402920766032	0.00330089137670603813	1	0.5	0.00773400115574141879	0.00099713814020684099	0.00409789789842850832	2	-854.465136561869713	10.5653055932761255	0.0355058318259734509	1	0.5	0.00105494786578068508	0.00163799186377294541	0.00134243090737798973	3	-1315.32155432116247	10.5200478192590126	0.0099356118461839775	1	0.5	0.00444738410156420363	0.0065366352299593795	0.00581191668185398937
