generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1084	0	10	0.212766	none	
TimeSizeRateMixer	2401	1652	5	0.106383	0.166063	
TimeRootSizeMixer	1223	1222	3	0.0638298	0.160145	
EventTimeScaler	9181	6206	1	0.0212766	0.380351	
RootPopulationSizeScaler0	558	395	1	0.0212766	0.290483	
LeafPopulationSizeScaler0	760	206	1	0.0212766	0.752949	
RootPopulationSizeScaler1	585	371	1	0.0212766	0.242247	
LeafPopulationSizeScaler1	673	279	1	0.0212766	0.413848	
RootPopulationSizeScaler2	550	416	1	0.0212766	0.237054	
LeafPopulationSizeScaler2	592	380	1	0.0212766	0.380769	
RootPopulationSizeScaler3	547	430	1	0.0212766	0.288147	
LeafPopulationSizeScaler3	665	304	1	0.0212766	0.319705	
RootPopulationSizeScaler4	595	370	1	0.0212766	0.219375	
LeafPopulationSizeScaler4	615	335	1	0.0212766	0.344425	
RootPopulationSizeScaler5	584	369	1	0.0212766	0.23669	
LeafPopulationSizeScaler5	703	278	1	0.0212766	0.363801	
RootPopulationSizeScaler6	527	438	1	0.0212766	0.273645	
LeafPopulationSizeScaler6	671	281	1	0.0212766	0.289904	
RootPopulationSizeScaler7	533	440	1	0.0212766	0.282655	
LeafPopulationSizeScaler7	626	319	1	0.0212766	0.359777	
RootPopulationSizeScaler8	555	416	1	0.0212766	0.257916	
LeafPopulationSizeScaler8	663	304	1	0.0212766	0.418189	
RootPopulationSizeScaler9	561	392	1	0.0212766	0.243318	
LeafPopulationSizeScaler9	741	246	1	0.0212766	0.574559	
RootPopulationSizeScaler10	574	412	1	0.0212766	0.265697	
LeafPopulationSizeScaler10	805	151	1	0.0212766	0.321889	
RootPopulationSizeScaler11	538	426	1	0.0212766	0.266734	
LeafPopulationSizeScaler11	681	273	1	0.0212766	0.507939	
RootPopulationSizeScaler12	541	420	1	0.0212766	0.288131	
LeafPopulationSizeScaler12	699	267	1	0.0212766	0.449761	
RootPopulationSizeScaler13	556	413	1	0.0212766	0.265825	
LeafPopulationSizeScaler13	730	242	1	0.0212766	0.470782	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2138	0	10	0.212766	none	
TimeSizeRateMixer	4483	3475	5	0.106383	0.177492	
TimeRootSizeMixer	2285	2350	3	0.0638298	0.164599	
EventTimeScaler	17211	13073	1	0.0212766	0.408855	
RootPopulationSizeScaler0	1042	827	1	0.0212766	0.307987	
LeafPopulationSizeScaler0	1395	465	1	0.0212766	0.895545	
RootPopulationSizeScaler1	1117	768	1	0.0212766	0.262862	
LeafPopulationSizeScaler1	1238	632	1	0.0212766	0.466187	
RootPopulationSizeScaler2	1031	855	1	0.0212766	0.251221	
LeafPopulationSizeScaler2	1105	787	1	0.0212766	0.406698	
RootPopulationSizeScaler3	991	892	1	0.0212766	0.299774	
LeafPopulationSizeScaler3	1209	662	1	0.0212766	0.354559	
RootPopulationSizeScaler4	1074	795	1	0.0212766	0.236092	
LeafPopulationSizeScaler4	1134	732	1	0.0212766	0.381765	
RootPopulationSizeScaler5	1103	763	1	0.0212766	0.255833	
LeafPopulationSizeScaler5	1273	621	1	0.0212766	0.410472	
RootPopulationSizeScaler6	981	893	1	0.0212766	0.284811	
LeafPopulationSizeScaler6	1291	569	1	0.0212766	0.341388	
RootPopulationSizeScaler7	950	935	1	0.0212766	0.285989	
LeafPopulationSizeScaler7	1184	670	1	0.0212766	0.400717	
RootPopulationSizeScaler8	999	862	1	0.0212766	0.267137	
LeafPopulationSizeScaler8	1212	649	1	0.0212766	0.467694	
RootPopulationSizeScaler9	1049	816	1	0.0212766	0.258547	
LeafPopulationSizeScaler9	1371	535	1	0.0212766	0.671606	
RootPopulationSizeScaler10	1061	828	1	0.0212766	0.284042	
LeafPopulationSizeScaler10	1526	315	1	0.0212766	0.410403	
RootPopulationSizeScaler11	1019	863	1	0.0212766	0.284264	
LeafPopulationSizeScaler11	1249	614	1	0.0212766	0.581681	
RootPopulationSizeScaler12	996	851	1	0.0212766	0.300854	
LeafPopulationSizeScaler12	1281	577	1	0.0212766	0.510572	
RootPopulationSizeScaler13	1050	837	1	0.0212766	0.282499	
LeafPopulationSizeScaler13	1335	555	1	0.0212766	0.550647	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3161	0	10	0.212766	none	
TimeSizeRateMixer	6708	5438	5	0.106383	0.184054	
TimeRootSizeMixer	3459	3607	3	0.0638298	0.167279	
EventTimeScaler	25229	20266	1	0.0212766	0.423431	
RootPopulationSizeScaler0	1508	1351	1	0.0212766	0.312431	
LeafPopulationSizeScaler0	2040	794	1	0.0212766	0.979502	
RootPopulationSizeScaler1	1637	1222	1	0.0212766	0.273997	
LeafPopulationSizeScaler1	1803	1039	1	0.0212766	0.496365	
RootPopulationSizeScaler2	1521	1337	1	0.0212766	0.257935	
LeafPopulationSizeScaler2	1647	1220	1	0.0212766	0.426955	
RootPopulationSizeScaler3	1437	1419	1	0.0212766	0.302822	
LeafPopulationSizeScaler3	1766	1085	1	0.0212766	0.376153	
RootPopulationSizeScaler4	1605	1236	1	0.0212766	0.24635	
LeafPopulationSizeScaler4	1684	1179	1	0.0212766	0.402866	
RootPopulationSizeScaler5	1648	1180	1	0.0212766	0.269517	
LeafPopulationSizeScaler5	1893	983	1	0.0212766	0.445294	
RootPopulationSizeScaler6	1480	1389	1	0.0212766	0.290043	
LeafPopulationSizeScaler6	1912	937	1	0.0212766	0.370606	
RootPopulationSizeScaler7	1415	1451	1	0.0212766	0.290603	
LeafPopulationSizeScaler7	1763	1052	1	0.0212766	0.422858	
RootPopulationSizeScaler8	1493	1354	1	0.0212766	0.275433	
LeafPopulationSizeScaler8	1799	1042	1	0.0212766	0.498976	
RootPopulationSizeScaler9	1609	1253	1	0.0212766	0.270844	
LeafPopulationSizeScaler9	1992	888	1	0.0212766	0.728749	
RootPopulationSizeScaler10	1525	1328	1	0.0212766	0.290129	
LeafPopulationSizeScaler10	2255	541	1	0.0212766	0.468329	
RootPopulationSizeScaler11	1492	1365	1	0.0212766	0.291567	
LeafPopulationSizeScaler11	1826	997	1	0.0212766	0.624433	
RootPopulationSizeScaler12	1455	1366	1	0.0212766	0.304147	
LeafPopulationSizeScaler12	1860	972	1	0.0212766	0.546264	
RootPopulationSizeScaler13	1556	1313	1	0.0212766	0.2907	
LeafPopulationSizeScaler13	1946	915	1	0.0212766	0.594149	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4193	0	10	0.212766	none	
TimeSizeRateMixer	8779	7426	5	0.106383	0.188024	
TimeRootSizeMixer	4627	4833	3	0.0638298	0.169598	
EventTimeScaler	32986	27599	1	0.0212766	0.432438	
RootPopulationSizeScaler0	1970	1847	1	0.0212766	0.316502	
LeafPopulationSizeScaler0	2628	1164	1	0.0212766	1.03656	
RootPopulationSizeScaler1	2158	1670	1	0.0212766	0.281359	
LeafPopulationSizeScaler1	2352	1447	1	0.0212766	0.518264	
RootPopulationSizeScaler2	2024	1805	1	0.0212766	0.262276	
LeafPopulationSizeScaler2	2146	1676	1	0.0212766	0.437776	
RootPopulationSizeScaler3	1910	1926	1	0.0212766	0.306269	
LeafPopulationSizeScaler3	2306	1500	1	0.0212766	0.389736	
RootPopulationSizeScaler4	2098	1709	1	0.0212766	0.250635	
LeafPopulationSizeScaler4	2238	1602	1	0.0212766	0.417254	
RootPopulationSizeScaler5	2163	1620	1	0.0212766	0.276053	
LeafPopulationSizeScaler5	2472	1370	1	0.0212766	0.468178	
RootPopulationSizeScaler6	1930	1886	1	0.0212766	0.29261	
LeafPopulationSizeScaler6	2522	1295	1	0.0212766	0.392002	
RootPopulationSizeScaler7	1863	1971	1	0.0212766	0.292763	
