generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_E1	ln_likelihood_E1	ln_prior_E1	root_height_E1	mutation_rate_E1	freq_1_E1	pop_size_E1	pop_size_W1	pop_size_root_E1	root_height_index_W2	ln_likelihood_W2	ln_prior_W2	root_height_W2	mutation_rate_W2	freq_1_W2	pop_size_W2	pop_size_E2	pop_size_root_W2	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_E4	ln_likelihood_E4	ln_prior_E4	root_height_E4	mutation_rate_E4	freq_1_E4	pop_size_E4	pop_size_W4	pop_size_root_E4	root_height_index_W5	ln_likelihood_W5	ln_prior_W5	root_height_W5	mutation_rate_W5	freq_1_W5	pop_size_W5	pop_size_E5	pop_size_root_W5	root_height_index_E	ln_likelihood_E	ln_prior_E	root_height_E	mutation_rate_E	freq_1_E	pop_size_E	pop_size_W	pop_size_root_E	root_height_index_E10	ln_likelihood_E10	ln_prior_E10	root_height_E10	mutation_rate_E10	freq_1_E10	pop_size_E10	pop_size_W10	pop_size_root_E10	root_height_index_E11	ln_likelihood_E11	ln_prior_E11	root_height_E11	mutation_rate_E11	freq_1_E11	pop_size_E11	pop_size_W11	pop_size_root_E11	root_height_index_W8	ln_likelihood_W8	ln_prior_W8	root_height_W8	mutation_rate_W8	freq_1_W8	pop_size_W8	pop_size_S8	pop_size_root_W8	root_height_index_W9	ln_likelihood_W9	ln_prior_W9	root_height_W9	mutation_rate_W9	freq_1_W9	pop_size_W9	pop_size_E9	pop_size_root_W9	root_height_index_E12	ln_likelihood_E12	ln_prior_E12	root_height_E12	mutation_rate_E12	freq_1_E12	pop_size_E12	pop_size_W12	pop_size_root_E12	root_height_index_W13	ln_likelihood_W13	ln_prior_W13	root_height_W13	mutation_rate_W13	freq_1_W13	pop_size_W13	pop_size_E13	pop_size_root_W13	root_height_index_W14	ln_likelihood_W14	ln_prior_W14	root_height_W14	mutation_rate_W14	freq_1_W14	pop_size_W14	pop_size_E14	pop_size_root_W14	root_height_index_W7	ln_likelihood_W7	ln_prior_W7	root_height_W7	mutation_rate_W7	freq_1_W7	pop_size_W7	pop_size_E7	pop_size_root_W7
0	-19353.8128670746228	179.946863134284257	14	7.5	0	-220.125127146983004	12.0746942394763153	0.00512391824311035811	1	0.5	0.00240413835642544699	0.00240413835642544699	0.00238017452821842656	1	-1230.43038083475108	12.0244509099880545	0.0141666184367261819	1	0.5	0.00277512929942614174	0.00277512929942614174	0.00258982306601574994	2	-2238.96237437005493	5.40883568259350511	0.0410034965917085784	1	0.5	0.00862904078419093022	0.00862904078419093022	0.0103193158313210111	3	-2038.02042468097875	11.6814669783902261	0.00923180773742733086	1	0.5	0.00204453737441910588	0.00204453737441910588	0.00191823267418036732	4	-1345.70781641015583	11.4772440932933932	0.00803398443881100932	1	0.5	0.00211135157632108507	0.00211135157632108507	0.00228476387192709605	5	-2074.22724666677505	11.7140960232288975	0.00948821666728610555	1	0.5	0.00244121509582640372	0.00244121509582640372	0.0026342746258208676	6	-2254.9016468092932	9.20310401227618513	0.000803431679490900354	1	0.5	0.00706089017094115295	0.00706089017094115295	0.00713991814967591953	7	-2255.98154407647507	11.9578604357212726	0.000797049920370991854	1	0.5	0.00375781423010397532	0.00375781423010397532	0.00388054672386246467	8	-986.854303659750144	11.6445598622001256	0.00808371313117032218	1	0.5	0.00433316499749949666	0.00433316499749949666	0.00409371639899952944	9	-608.587756638856149	10.8043577998404956	0.0190288561376673084	1	0.5	0.00214262664669499217	0.00214262664669499217	0.00245369473330556533	10	-919.176839487065081	10.8749391077276059	0.0109492112465588796	1	0.5	0.00319814003156588828	0.00319814003156588828	0.00371258239548560853	11	-873.403818666299117	8.64814175426960219	0.0156593698526957779	1	0.5	0.000813609079283365757	0.000813609079283365757	0.000843470307847823107	12	-964.711383748005915	9.09877824436993876	0.0201893030531010119	1	0.5	0.000918494217779837626	0.000918494217779837626	0.000964281563181514328	13	-1342.72220387918128	5.15597994114667557	0.0192921150413412727	1	0.5	0.00713631884041848914	0.00713631884041848914	0.00524585756915957237
50	-18787.2012928652694	135.630170385254559	7	7.5	0	-216.143811944725826	11.884652178053134	0.000743253230172292718	1	0.5	0.00218138057248726909	0.00235757355633077741	0.00235386367454869065	1	-1154.78542490913082	11.3031817038324363	0.0565680688132624981	1	0.5	0.00301930234152181579	0.00310471180426184811	0.00263946077136508828	2	-2136.37670582646297	8.07082936793889161	0.00505562418403728096	1	0.5	0.00808776730703223042	0.00764724117348587577	0.00827885007540247499	3	-1999.89503412531144	11.7996839544941707	0.0259336549517673182	1	0.5	0.00204893675739767139	0.00208231015584343319	0.00210459711603297808	4	-1333.40404107855898	11.1006368486278681	0.0037104582207691506	1	0.5	0.00201077616419425382	0.00221133339314754599	0.00236218154003996683	5	-1899.58100013908393	12.134251881358626	0.0537657998593898401	1	0.5	0.00262340191389222451	0.00264913304980111605	0.00254708377881825501	6	-2238.86709714275821	9.39326722889506271	0.0042676853583298929	1	0.5	0.00729550450641890374	0.00651289628135312115	0.00680044120775722457	6	-2239.05123682828798	11.7624548364483879	0.0042676853583298929	1	0.5	0.00428041617305259005	0.00350744003048342971	0.00361728352490793504	6	-982.658888917975787	8.70913901127212142	0.0042676853583298929	1	0.5	0.00457095244779933893	0.00453618374199842803	0.00350325041706873227	6	-592.833694961683818	10.978025212735897	0.0042676853583298929	1	0.5	0.00207678240832457001	0.0018670083724302137	0.00220476092328849129	5	-877.047762721433969	11.6659731816087984	0.0537657998593898401	1	0.5	0.0031563645988384112	0.00336179431940619462	0.00356904600717007766	5	-860.552412534958648	7.39727834402093265	0.0537657998593898401	1	0.5	0.00090248005703848081	0.000842062032564316453	0.000715144058118714725	5	-961.7796110117431	9.61421004058942685	0.0537657998593898401	1	0.5	0.00101346869246736753	0.00098830628231824473	0.00100406180141211776	0	-1294.22457072315501	1.21457129689947152	0.000743253230172292718	1	0.5	0.00669245161822167988	0.00685919638591235125	0.00431855903874724372
100	-18762.7212905600863	141.975185942995779	10	7.5	0	-216.573528486868355	11.7165496760419288	0.00132046728501780154	1	0.5	0.0019800704271548176	0.0024090015802193214	0.00231407466841647555	1	-1154.83087296918166	12.1417171426981305	0.0551411266004510556	1	0.5	0.00297304661928823183	0.00295338133269664599	0.00304471184732863507	2	-2130.75564754843799	8.5785324277201731	0.00534860865253486938	1	0.5	0.00752613256021776415	0.00768945996694486711	0.00751053696363975735	3	-1996.04141904865787	11.7278066175397981	0.0352228022524319201	1	0.5	0.00212736945319574227	0.00215692472410066848	0.00199593534224718231	4	-1331.80545271419601	11.6444787764839859	0.00396459574944562753	1	0.5	0.00217431895625089765	0.00237496759577009902	0.00244692711648024537	1	-1899.52224849232948	12.1848098034604142	0.0551411266004510556	1	0.5	0.00270930544940087021	0.00283860781014027294	0.00277927713733336357	2	-2232.2706380849645	7.90050762787836547	0.00534860865253486938	1	0.5	0.00752979811229398475	0.00512793906893364241	0.00508300041467691418	5	-2238.75125262307984	11.7029145385280309	0.00409799711856448194	1	0.5	0.00437686296658881032	0.00367117352270659525	0.00373625248495118275	6	-983.040121845514136	7.56132819266807132	0.00716198830827027844	1	0.5	0.00511985787085653902	0.00434468487430139921	0.00348994734193024949	5	-592.653209827428554	11.5551992260679164	0.00409799711856448194	1	0.5	0.00202459343424546455	0.00205577898459807264	0.00217040812775416052	7	-874.566624737565917	8.52056833997405505	0.0369676381711005475	1	0.5	0.00301973189735549492	0.00331159455383234647	0.00406730026384589244	8	-859.18612075348085	8.302966364548233	0.0355861020356575894	1	0.5	0.000953527322046675047	0.000804730148726440805	0.000766635675118104102	9	-959.882979132406149	7.82331823406086002	0.0296023329983684629	1	0.5	0.00088609121427784209	0.00092464954959249905	0.0010548954227848201	0	-1292.841174295972	2.17268445112299702	0.00132046728501780154	1	0.5	0.00602422252509839627	0.00687157273208340198	0.00418273127756082792
150	-18711.1233224139796	132.930775579946726	6	7.5	0	-212.776138901394006	9.87107676275849499	2.61502785813568832e-06	1	0.5	0.00181434114276741239	0.00224388449214653037	0.00164031997745171451	1	-1152.21828805539144	9.74051929793840543	0.0738179799970235112	1	0.5	0.00312485343202035864	0.00303737265910745957	0.00378304966390678905	2	-2113.93717853980843	11.0061535714102376	0.0049541211313367077	1	0.5	0.0057988555788881643	0.00459960805522328323	0.0049614314629951254	3	-1989.65447859396977	11.9091400790612347	0.0341639385426701289	1	0.5	0.00233711521120319368	0.00209595250798348632	0.00212930995636429919	2	-1324.17646820690015	10.9106078285152819	0.0049541211313367077	1	0.5	0.00259156277529097763	0.0028163321754847751	0.00312783101020746614	1	-1894.14988781776356	12.1658610682394048	0.0738179799970235112	1	0.5	0.00296554225074289373	0.00263384810657294041	0.00282930062253665578	2	-2231.61836804601808	9.72407701619460241	0.0049541211313367077	1	0.5	0.00782818067589786948	0.00453495105207606282	0.00570240415763205531	2	-2240.14471750285247	10.8450971785809571	0.0049541211313367077	1	0.5	0.0041196955883462472	0.00330577901512675489	0.00313615207598190058	2	-980.198915010489372	10.4170519461245625	0.0049541211313367077	1	0.5	0.0050869342138371177	0.00388088012050938303	0.00378767375664252519	4	-592.359640430138484	11.5892521821503607	0.00426411355032036473	1	0.5	0.00204604275292313191	0.00176371112219174137	0.00195805024737962441	3	-881.932462016154886	11.631744505517787	0.0341639385426701289	1	0.5	0.00374653989458505849	0.0035713726732045461	0.00328733255541022824	3	-858.546245000488398	1.30021747728833148	0.0341639385426701289	1	0.5	0.000848043060013380589	0.000918507905420719566	0.000571594882477984814	3	-955.540878426861809	9.52252991425688222	0.0341639385426701289	1	0.5	0.000863801083062635524	0.00112605436578035178	0.000963290314021385393	5	-1283.86965586575184	5.98945264367553065	0.00344419981686115402	1	0.5	0.00516730736162824243	0.00515758785261238428	0.00363408309970093346
200	-18653.005883163205	146.011273166665489	6	7.5	0	-213.979229443299744	11.1113812073581428	0.00134527463591555918	1	0.5	0.00141831361581130303	0.00178067932813818141	0.0015173620303350619	1	-1152.16409436132903	11.1632869288491072	0.0677431325017462116	1	0.5	0.00246746589566955096	0.00373311386827547163	0.00350626837376005491	2	-2111.75978819117108	11.6362548125428873	0.00478300965433521661	1	0.5	0.00412067146662392636	0.00484317651159628555	0.00442330743201835123	3	-1975.60303184963141	11.6057202326003832	0.0367735171781029407	1	0.5	0.00293258042289543759	0.00200821825613790471	0.00267004496019321302	2	-1317.1983273102669	7.58701135459433473	0.00478300965433521661	1	0.5	0.00284120791082348011	0.0035284806021347666	0.00421148261809089694	1	-1892.3339658556315	12.1335676805155401	0.0677431325017462116	1	0.5	0.00291929322671318067	0.00239517133076839854	0.00266015925804500078	2	-2226.74666056256865	8.80061496275044419	0.00478300965433521661	1	0.5	0.00763164590190752549	0.00320677267247635204	0.00446446420123776475	4	-2238.63688942766476	11.5736195328888378	0.00457111684441175326	1	0.5	0.00434111559492899191	0.00346621700103520074	0.00353902224005089947	2	-977.716813030341882	11.0508369589635755	0.00478300965433521661	1	0.5	0.00632577226320302308	0.00342129717786765833	0.00467941183366769268	5	-591.38195643298252	11.7078693865014714	0.00377703407369452257	1	0.5	0.00178187999694699186	0.00213276882398250782	0.00192381274708635741	3	-876.835061110042489	11.7122156953243106	0.0367735171781029407	1	0.5	0.00355687098226720134	0.0031886089584636291	0.00366663910660446849	3	-858.333652040134439	9.10560762493447484	0.0367735171781029407	1	0.5	0.000908198518139131678	0.000889622358574745161	0.000925399304884440862	3	-948.664215743993282	9.42851113237502503	0.0367735171781029407	1	0.5	0.000937066601613207564	0.0017032677462544628	0.00149685861118930078	2	-1271.65219780415032	10.9213932304458332	0.00478300965433521661	1	0.5	0.00459192103433102468	0.00340085802580342243	0.00343317072962363423
250	-18643.2699577469357	142.145633054459779	5	7.5	0	-214.878919201452248	10.7585553868980419	0.00334802951808082323	1	0.5	0.00130438506778130696	0.00143369583264567509	0.00136188559416170699	1	-1153.15092337912756	11.88310588452293	0.0670518467258272022	1	0.5	0.00277290592037269992	0.00406498118530978798	0.00319265490131077651	2	-2112.95700174715694	11.4371022483893796	0.00395134384443171418	1	0.5	0.0047949160858981538	0.0046837500703351782	0.00482490655099401203	3	-1973.5024927883444	11.9499331552354136	0.0368571937520278323	1	0.5	0.00307575771221608833	0.00216661160014341211	0.00247050137104509217	4	-1314.66276264943372	7.66803677524396932	0.00529973995727643123	1	0.5	0.00294466412454204816	0.00434311623242552083	0.00477907030747272334	1	-1891.79974710005763	11.9473431251411988	0.0670518467258272022	1	0.5	0.0030125624666632253	0.00239517133076839854	0.00284768875317650653	2	-2227.53216015948692	10.3197357723510308	0.00395134384443171418	1	0.5	0.00766341121439998493	0.00314388695838556647	0.00520172848746652903	2	-2240.21747937391046	11.8921396192783462	0.00395134384443171418	1	0.5	0.00420155096668063666	0.00379385028883657801	0.0038479698272658419	2	-977.460423788124331	10.4956243595776932	0.00395134384443171418	1	0.5	0.0070773294807517529	0.00328891950376398057	0.0048117544300504576	4	-591.104334689333996	11.3618896741318736	0.00529973995727643123	1	0.5	0.0017081518308508549	0.00190128165124856148	0.00168041990597114256	3	-874.192758219377311	11.2830643841293927	0.0368571937520278323	1	0.5	0.00332097503015166837	0.00300051713057827765	0.00357340621436547925	3	-858.508870539061036	9.30783753798979774	0.0368571937520278323	1	0.5	0.000984361401961753816	0.000884145233943457189	0.000946594690370595256	3	-945.834547312264704	10.5977025824459581	0.0368571937520278323	1	0.5	0.00102066477920094325	0.00213665151005930538	0.00166533153571370661	2	-1267.46753679980566	11.1417602205778365	0.00395134384443171418	1	0.5	0.00377238063124724727	0.00335229863407437469	0.00305684502931162548
300	-18604.732282467372	158.822813097725032	9	7.5	0	-216.433116323638671	10.3614175614149673	0.00686276207265124841	1	0.5	0.00122014879035855389	0.00121208966726968998	0.00120207188649220894	1	-1151.80786092400217	11.8451670396361166	0.0713623909852515864	1	0.5	0.00278354797049567724	0.00284862993252844648	0.00303044592717793132	2	-2113.27261915472673	11.129763339558238	0.00471652989228412301	1	0.5	0.00523365306453547983	0.00452612040227654954	0.00516431826891997417	3	-1961.93527139217986	11.8825590823832385	0.0393879582334486986	1	0.5	0.00380075488818716698	0.00209234048992882693	0.00302374946020040475	4	-1315.38575145544883	11.1635235345485455	0.00822366602338997325	1	0.5	0.00372717854940044641	0.00522133130328429444	0.00484652643549827577	1	-1889.81476493917376	12.0419127067574507	0.0713623909852515864	1	0.5	0.00312956116234453527	0.00215724075658427694	0.0026702886462436912	5	-2223.87732315111043	9.99465299870933777	0.00525932229436469612	1	0.5	0.00784536377594290991	0.00192787667352074007	0.004859024337642571	6	-2237.29044666563186	11.4124794594280914	0.00497008783776287533	1	0.5	0.00463595712571970766	0.00343579090949746495	0.0043840843719073954	2	-977.500614878454826	10.4211592509687989	0.00471652989228412301	1	0.5	0.00749996363822846932	0.00340237595075778675	0.00530501096749887331	6	-589.683880553535346	10.9347897406459644	0.00497008783776287533	1	0.5	0.00143285466707782257	0.00191431892221048932	0.00180321642044429771	7	-871.389501084894732	11.0201242686111414	0.0408612684788196914	1	0.5	0.00318699788586917056	0.00275927839154436203	0.00342059892746536098	7	-858.371952699382859	9.26401708040052796	0.0408612684788196914	1	0.5	0.00101781327697918699	0.000898752308551819244	0.00100572123672150655	7	-946.397732150741717	10.0579747479175658	0.0408612684788196914	1	0.5	0.000780390210740480026	0.00205422656392828225	0.00147992093680992176	8	-1251.5714470944506	11.8061306424607402	0.00304704189335102847	1	0.5	0.00294388059760129425	0.00202180776236195441	0.00230537969152082257
350	-18587.8934898588595	144.194216611490219	5	7.5	0	-214.563373044367637	9.92794120745006481	0.00371782759895413796	1	0.5	0.00161903458800886305	0.000866941655544881161	0.0011497933621407116	1	-1151.80311499813774	12.0587463341496495	0.0703032806879303751	1	0.5	0.00256106232017895433	0.00345233926654842831	0.00285421261461312392	2	-2112.59127080672897	11.7531720230513592	0.00483703009485225884	1	0.5	0.00482466629316778521	0.00334229733621586476	0.00415994760207398766	3	-1955.7189594285669	11.4072033920641225	0.0380867904197574603	1	0.5	0.00426507473140247482	0.00208415313606945783	0.00286288251701135059	2	-1317.52972380691131	10.2445728047464968	0.00483703009485225884	1	0.5	0.00298397631401836703	0.00539971469308120171	0.00486793797315833096	1	-1884.43078894220162	11.0502419401456677	0.0703032806879303751	1	0.5	0.00326914894813488868	0.00133119634610124726	0.00248285317763019065	2	-2225.4967001071127	10.6698435163806273	0.00483703009485225884	1	0.5	0.00691145457820419463	0.002190687620575461	0.00450251192880851431	2	-2239.2981506057331	10.2720988403203251	0.00483703009485225884	1	0.5	0.00416711402573156399	0.0030150178358106937	0.0042678896796662022	2	-975.360452383450252	11.1282216471369928	0.00483703009485225884	1	0.5	0.00593606029860946436	0.00217511031740243383	0.004150111525505467	2	-589.164463293514927	10.1059016697518764	0.00483703009485225884	1	0.5	0.00132898134673600614	0.00201744313882631834	0.00191905752304406753	3	-871.536742279627333	12.0728140767377674	0.0380867904197574603	1	0.5	0.00320852129561856455	0.00271522801241046901	0.00307733266835000545	3	-857.56681569278976	10.7283430668196722	0.0380867904197574603	1	0.5	0.00129892050479637447	0.00141873244191966777	0.00136210551465202083	3	-944.550182221657906	9.75487883726260918	0.0380867904197574603	1	0.5	0.000614320751350595469	0.00243036676906753122	0.00153960208261648759	4	-1248.2827522480577	11.6046268561104178	0.00251952341233530963	1	0.5	0.00324529180098889454	0.00160811144734268802	0.00228675518025997808
400	-18555.922134723598	147.016159616906521	7	7.5	0	-215.28569910536649	10.7385082560450584	0.00222641239208900416	1	0.5	0.00150318093399485998	0.00169374680986369855	0.00174484110648552831	1	-1151.57228725343271	11.8385613208027465	0.069773561385432184	1	0.5	0.00234920188569343177	0.00298402120956872078	0.00244297624798143131	2	-2111.31010542920194	9.39230439388045468	0.00393495145110670571	1	0.5	0.00356092101280968505	0.00387653635016079042	0.00460307066483503155	3	-1941.90440857372096	10.0014868004524509	0.0350187441940822825	1	0.5	0.00591595577319877983	0.00206623894704754127	0.00338001789934133049	4	-1315.74809529568415	10.7347604477612677	0.00973018319412389393	1	0.5	0.00372853561762570953	0.00558259153655211223	0.00517092482826936664	1	-1882.74751138292299	11.2930654188278119	0.069773561385432184	1	0.5	0.00389058650900401658	0.00135949515828160425	0.00270035776030919626	5	-2226.08960378569373	10.00066839753827	0.00485764387838243886	1	0.5	0.00642223129120002637	0.0020363796947352685	0.00365520163274613312	5	-2232.13105495589434	11.4781831220383452	0.00485764387838243886	1	0.5	0.00558591268300046538	0.00325887845106344939	0.00440418174664386226	6	-971.631454000638996	8.19157203005470791	0.00307449715166490571	1	0.5	0.00822008057738600993	0.00116664838185588952	0.00527184125242637427	5	-588.246508656684114	10.8586861041473526	0.00485764387838243886	1	0.5	0.00116315012138979335	0.00216234039260211099	0.00154303594938544168	3	-876.417673806180687	11.187238963111021	0.0350187441940822825	1	0.5	0.00373140225915314337	0.00293715081094801829	0.00377871568011915781	3	-859.306812737779637	11.0209292043465403	0.0350187441940822825	1	0.5	0.00160046002867211845	0.00178002417901745218	0.00153482099896355261	3	-942.627173160520783	10.1993557156924588	0.0350187441940822825	1	0.5	0.000832478982330275819	0.00424524918768139341	0.00264454327194495881	0	-1240.90374657987604	10.4345813353121066	0.00222641239208900416	1	0.5	0.00312256275146575134	0.000895204666707311134	0.00213389248367326905
450	-18523.5325361747964	138.465397637602791	6	7.5	0	-215.166233341254213	10.8888618512265722	0.00188824599386502932	1	0.5	0.00129385363302582444	0.00208653827066479329	0.00181365306981629611	1	-1152.40215321416463	11.7833671407794469	0.0739604201480690421	1	0.5	0.00297303883990939063	0.00250357614979983181	0.00247977088027827699	2	-2111.38419069682777	10.2546268721687177	0.00433438886482069661	1	0.5	0.0040401320321224064	0.00375287061600139069	0.00462398489238055339	3	-1929.99384175518935	8.74177742344000919	0.0372784005073886482	1	0.5	0.00869141371181361873	0.00140381341030407507	0.00462597650881207099	4	-1314.37110441864161	9.32370812575286934	0.00729732873650418713	1	0.5	0.00429409739440778093	0.00621603944413634101	0.00620749428859941003	1	-1881.46716967268776	10.0780835220073186	0.0739604201480690421	1	0.5	0.00401514108124106928	0.000950761854765571853	0.00273745724483602862	2	-2223.60847962219532	10.2783675152694975	0.00433438886482069661	1	0.5	0.00697772855815542714	0.00162907465002842334	0.00416189847935430346	2	-2226.0863528408604	10.0731090570742694	0.00433438886482069661	1	0.5	0.00747335309115713768	0.00280701493519703313	0.00464669501217718477	5	-973.073347102217554	9.62013742620554879	0.00333695167924663453	1	0.5	0.00678714140696344385	0.00116596365085897815	0.00422458151596236554	5	-588.309107744128482	10.7228086505184557	0.00333695167924663453	1	0.5	0.00125036607464760899	0.00186765732134067585	0.00142201517340898899	3	-869.068529296680367	11.9179659071084565	0.0372784005073886482	1	0.5	0.00316977270734974644	0.00234413375880048814	0.00290867328190402884	3	-857.626582409917432	10.8939288851080178	0.0372784005073886482	1	0.5	0.00127936528436525961	0.00180847234074845982	0.00144464437529195238	3	-942.940706787509839	11.2094226296284418	0.0372784005073886482	1	0.5	0.00124057659764360406	0.00381698590011022307	0.00245612411075269181	0	-1238.03473727252185	9.60102195925089319	0.00188824599386502932	1	0.5	0.00262842589031471886	0.000639999874890591759	0.0014930620209847366
