model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,1,5,6,7,8,3,3,3,9	0.0132143	0.0132143	1e-06	13391.2
0,1,2,3,4,1,2,2,2,2,3,3,3,5	0.0107143	0.0239286	<1e-06	>10830.3
0,1,2,3,4,1,5,5,5,5,3,3,3,5	0.0103571	0.0342857	<1e-06	>10465.5
0,1,2,3,4,1,2,2,2,2,3,3,3,2	0.00785714	0.0421429	<1e-06	>7919.36
0,1,2,3,4,1,5,5,5,6,3,3,3,7	0.0075	0.0496429	<1e-06	>7556.67
0,1,2,3,4,1,5,5,6,5,3,3,3,7	0.00678571	0.0564286	<1e-06	>6832.07
0,1,2,3,4,1,5,6,5,7,3,3,3,8	0.00642857	0.0628571	<1e-06	>6470.16
0,1,2,3,4,1,5,6,6,7,3,3,3,8	0.00642857	0.0692857	<1e-06	>6470.16
0,1,2,3,4,1,2,2,5,6,3,3,3,7	0.00642857	0.0757143	<1e-06	>6470.16
0,1,2,3,4,1,5,5,5,5,3,3,3,6	0.00642857	0.0821429	<1e-06	>6470.16
0,1,2,3,4,1,2,2,2,5,3,3,3,6	0.00642857	0.0885714	<1e-06	>6470.16
0,1,2,3,4,1,0,0,0,0,3,3,3,0	0.00607143	0.0946429	<1e-06	>6108.51
0,1,2,3,4,1,5,6,7,5,3,3,3,8	0.005	0.0996429	<1e-06	>5025.12
0,1,2,3,4,1,5,6,7,6,3,3,3,8	0.005	0.104643	<1e-06	>5025.12
0,1,2,3,4,1,5,6,5,5,3,3,3,5	0.00464286	0.109286	<1e-06	>4664.51
0,1,2,3,4,1,5,6,6,6,3,3,3,7	0.00464286	0.113929	<1e-06	>4664.51
0,1,2,3,4,1,5,5,6,5,3,3,3,5	0.00464286	0.118571	<1e-06	>4664.51
0,1,2,3,4,1,5,6,5,6,3,3,3,7	0.00428571	0.122857	<1e-06	>4304.16
0,1,0,2,3,1,0,0,0,0,2,2,2,0	0.00428571	0.127143	<1e-06	>4304.16
0,1,0,2,3,1,0,0,0,0,2,2,2,4	0.00428571	0.131429	<1e-06	>4304.16
0,1,2,3,4,1,0,5,0,0,3,3,3,0	0.00428571	0.135714	<1e-06	>4304.16
0,1,2,3,4,1,5,6,5,5,3,3,3,7	0.00392857	0.139643	<1e-06	>3944.06
0,1,2,3,4,1,5,2,2,6,3,3,3,7	0.00392857	0.143571	<1e-06	>3944.06
0,1,2,3,4,1,5,6,5,6,3,3,3,6	0.00357143	0.147143	<1e-06	>3584.23
0,1,2,3,4,1,5,6,5,7,3,3,3,5	0.00357143	0.150714	1e-06	3584.23
0,1,2,3,4,1,5,6,6,6,3,3,3,6	0.00357143	0.154286	<1e-06	>3584.23
0,1,2,3,4,1,5,5,6,7,3,3,3,8	0.00357143	0.157857	<1e-06	>3584.23
0,1,2,3,4,1,5,2,2,2,3,3,3,6	0.00321429	0.161071	<1e-06	>3224.65
0,1,2,3,4,1,5,6,7,7,3,3,3,8	0.00321429	0.164286	<1e-06	>3224.65
0,1,2,3,4,1,5,5,6,7,3,3,3,5	0.00321429	0.1675	<1e-06	>3224.65
0,1,2,3,4,1,2,5,2,6,3,3,3,7	0.00321429	0.170714	1e-06	3224.65
0,1,2,3,4,1,2,2,2,5,3,3,3,0	0.00321429	0.173929	<1e-06	>3224.65
0,1,2,3,4,1,2,5,6,7,3,3,3,8	0.00321429	0.177143	1e-06	3224.65
0,1,2,3,4,1,5,5,5,6,3,3,3,5	0.00321429	0.180357	<1e-06	>3224.65
0,1,2,3,4,1,5,5,2,6,3,3,3,7	0.00321429	0.183571	<1e-06	>3224.65
0,1,2,3,4,1,5,6,2,7,3,3,3,8	0.00321429	0.186786	<1e-06	>3224.65
0,1,2,3,4,1,5,2,6,7,3,3,3,8	0.00285714	0.189643	<1e-06	>2865.33
0,1,2,3,4,1,5,6,7,7,3,3,3,7	0.00285714	0.1925	<1e-06	>2865.33
0,1,2,3,4,1,5,2,2,2,3,3,3,2	0.00285714	0.195357	<1e-06	>2865.33
0,1,2,3,4,1,2,5,2,2,3,3,3,6	0.00285714	0.198214	<1e-06	>2865.33
0,1,2,3,4,1,5,5,6,7,3,3,3,6	0.00285714	0.201071	<1e-06	>2865.33
0,1,2,3,4,1,5,6,7,8,3,3,3,0	0.00285714	0.203929	<1e-06	>2865.33
0,1,2,3,4,1,5,5,5,6,3,3,3,6	0.00285714	0.206786	<1e-06	>2865.33
0,1,2,3,4,1,5,6,7,8,3,3,3,7	0.00285714	0.209643	<1e-06	>2865.33
0,1,2,3,4,1,2,2,5,2,3,3,3,2	0.00285714	0.2125	<1e-06	>2865.33
0,1,2,3,4,1,5,5,5,5,3,3,6,7	0.0025	0.215	<1e-06	>2506.26
0,1,2,3,4,1,5,6,7,8,3,3,3,6	0.0025	0.2175	<1e-06	>2506.26
0,1,2,3,4,1,5,6,5,2,3,3,3,7	0.0025	0.22	<1e-06	>2506.26
0,1,2,3,4,1,0,0,5,6,3,3,3,7	0.0025	0.2225	<1e-06	>2506.26
0,1,2,3,4,1,5,6,7,8,3,3,3,8	0.0025	0.225	<1e-06	>2506.26
0,1,2,3,4,1,5,5,6,5,3,3,3,0	0.0025	0.2275	<1e-06	>2506.26
0,1,2,3,4,1,0,0,2,0,3,3,3,0	0.0025	0.23	<1e-06	>2506.26
0,1,2,3,4,1,5,5,5,5,3,3,3,0	0.0025	0.2325	<1e-06	>2506.26
0,1,2,3,4,1,5,5,6,6,3,3,3,7	0.0025	0.235	<1e-06	>2506.26
0,1,2,3,4,1,5,5,5,5,3,6,3,7	0.0025	0.2375	<1e-06	>2506.26
