number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
8	0.287857	0.287857	0.227798	1.37022
7	0.274286	0.562143	0.179112	1.73219
9	0.156786	0.718929	0.210403	0.697786
6	0.155357	0.874286	0.100337	1.64921
10	0.0585714	0.932857	0.140648	0.380133
5	0.0507143	0.983571	0.039939	1.28421
11	0.00964286	0.993214	0.065032	0.139986
4	0.00535714	0.998571	0.010798	0.49341
12	0.00142857	1	0.019834	0.0706988
1	<0.000357143	1	9e-06	<39.6964
2	<0.000357143	1	0.00018	<1.98448
3	<0.000357143	1	0.001911	<0.186597
13	<0.000357143	1	0.0037	<0.0962023
14	<0.000357143	1	0.000299	<1.19453
