generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1414	0	10	0.285714	none	
TimeSizeRateMixer	2344	1707	5	0.142857	0.196567	
TimeRootSizeMixer	1137	1058	3	0.0857143	0.204219	
EventTimeScaler	9352	6157	1	0.0285714	0.463697	
RootPopulationSizeScaler0	643	550	1	0.0285714	0.205349	
LeafPopulationSizeScaler0	736	474	1	0.0285714	0.214254	
RootPopulationSizeScaler1	682	519	1	0.0285714	0.263244	
LeafPopulationSizeScaler1	684	537	1	0.0285714	0.316722	
RootPopulationSizeScaler2	706	500	1	0.0285714	0.259629	
LeafPopulationSizeScaler2	823	375	1	0.0285714	0.462862	
RootPopulationSizeScaler3	694	514	1	0.0285714	0.266847	
LeafPopulationSizeScaler3	1013	217	1	0.0285714	0.318206	
RootPopulationSizeScaler4	767	460	1	0.0285714	0.262391	
LeafPopulationSizeScaler4	918	295	1	0.0285714	0.738124	
RootPopulationSizeScaler5	698	528	1	0.0285714	0.280022	
LeafPopulationSizeScaler5	820	392	1	0.0285714	0.418733	
RootPopulationSizeScaler6	707	497	1	0.0285714	0.271364	
LeafPopulationSizeScaler6	957	238	1	0.0285714	0.609469	
RootPopulationSizeScaler7	748	479	1	0.0285714	0.231322	
LeafPopulationSizeScaler7	820	402	1	0.0285714	0.468264	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2863	0	10	0.285714	none	
TimeSizeRateMixer	4484	3786	5	0.142857	0.206415	
TimeRootSizeMixer	2376	2332	3	0.0857143	0.212732	
EventTimeScaler	18224	13515	1	0.0285714	0.499215	
RootPopulationSizeScaler0	1257	1212	1	0.0285714	0.212013	
LeafPopulationSizeScaler0	1465	1030	1	0.0285714	0.235723	
RootPopulationSizeScaler1	1305	1177	1	0.0285714	0.274024	
LeafPopulationSizeScaler1	1307	1192	1	0.0285714	0.330491	
RootPopulationSizeScaler2	1371	1112	1	0.0285714	0.275622	
LeafPopulationSizeScaler2	1609	879	1	0.0285714	0.526881	
RootPopulationSizeScaler3	1369	1116	1	0.0285714	0.284815	
LeafPopulationSizeScaler3	1957	537	1	0.0285714	0.392658	
RootPopulationSizeScaler4	1434	1051	1	0.0285714	0.278618	
LeafPopulationSizeScaler4	1793	706	1	0.0285714	0.875724	
RootPopulationSizeScaler5	1362	1154	1	0.0285714	0.294823	
LeafPopulationSizeScaler5	1565	926	1	0.0285714	0.461209	
RootPopulationSizeScaler6	1357	1126	1	0.0285714	0.286399	
LeafPopulationSizeScaler6	1814	636	1	0.0285714	0.730854	
RootPopulationSizeScaler7	1474	1048	1	0.0285714	0.250633	
LeafPopulationSizeScaler7	1585	904	1	0.0285714	0.530241	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4312	0	10	0.285714	none	
TimeSizeRateMixer	6665	5920	5	0.142857	0.21186	
TimeRootSizeMixer	3550	3583	3	0.0857143	0.216961	
EventTimeScaler	26608	21318	1	0.0285714	0.515816	
RootPopulationSizeScaler0	1870	1864	1	0.0285714	0.216002	
LeafPopulationSizeScaler0	2160	1615	1	0.0285714	0.247539	
RootPopulationSizeScaler1	1940	1813	1	0.0285714	0.280729	
LeafPopulationSizeScaler1	1917	1834	1	0.0285714	0.33626	
RootPopulationSizeScaler2	2043	1719	1	0.0285714	0.284768	
LeafPopulationSizeScaler2	2361	1410	1	0.0285714	0.561996	
RootPopulationSizeScaler3	2017	1731	1	0.0285714	0.294551	
LeafPopulationSizeScaler3	2832	928	1	0.0285714	0.435963	
RootPopulationSizeScaler4	2121	1634	1	0.0285714	0.289807	
LeafPopulationSizeScaler4	2615	1147	1	0.0285714	0.954452	
RootPopulationSizeScaler5	1986	1791	1	0.0285714	0.301383	
LeafPopulationSizeScaler5	2276	1492	1	0.0285714	0.483186	
RootPopulationSizeScaler6	2025	1763	1	0.0285714	0.295819	
LeafPopulationSizeScaler6	2638	1091	1	0.0285714	0.798662	
RootPopulationSizeScaler7	2129	1650	1	0.0285714	0.260143	
LeafPopulationSizeScaler7	2307	1454	1	0.0285714	0.561045	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5712	0	10	0.285714	none	
TimeSizeRateMixer	8735	8013	5	0.142857	0.215155	
TimeRootSizeMixer	4698	4884	3	0.0857143	0.218932	
EventTimeScaler	34596	29019	1	0.0285714	0.526068	
RootPopulationSizeScaler0	2506	2520	1	0.0285714	0.218899	
LeafPopulationSizeScaler0	2835	2210	1	0.0285714	0.253941	
RootPopulationSizeScaler1	2563	2465	1	0.0285714	0.284256	
LeafPopulationSizeScaler1	2564	2516	1	0.0285714	0.341049	
RootPopulationSizeScaler2	2711	2342	1	0.0285714	0.290762	
LeafPopulationSizeScaler2	3115	1943	1	0.0285714	0.585177	
RootPopulationSizeScaler3	2645	2383	1	0.0285714	0.29812	
LeafPopulationSizeScaler3	3707	1324	1	0.0285714	0.468751	
RootPopulationSizeScaler4	2798	2257	1	0.0285714	0.295393	
LeafPopulationSizeScaler4	3427	1631	1	0.0285714	1.00843	
RootPopulationSizeScaler5	2596	2470	1	0.0285714	0.304941	
LeafPopulationSizeScaler5	2989	2069	1	0.0285714	0.497238	
RootPopulationSizeScaler6	2634	2410	1	0.0285714	0.30056	
LeafPopulationSizeScaler6	3466	1553	1	0.0285714	0.843842	
RootPopulationSizeScaler7	2782	2270	1	0.0285714	0.266087	
LeafPopulationSizeScaler7	3012	2035	1	0.0285714	0.579881	
generation 25000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7139	0	10	0.285714	none	
TimeSizeRateMixer	10659	10088	5	0.142857	0.217052	
TimeRootSizeMixer	5895	6213	3	0.0857143	0.22046	
EventTimeScaler	42660	36851	1	0.0285714	0.533867	
RootPopulationSizeScaler0	3102	3195	1	0.0285714	0.220221	
LeafPopulationSizeScaler0	3492	2799	1	0.0285714	0.258413	
RootPopulationSizeScaler1	3152	3144	1	0.0285714	0.285791	
LeafPopulationSizeScaler1	3165	3187	1	0.0285714	0.343449	
