generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1370	0	10	0.285714	none	
TimeSizeRateMixer	2776	1485	5	0.142857	0.162795	
TimeRootSizeMixer	1380	1283	3	0.0857143	0.217928	
EventTimeScaler	9496	6532	1	0.0285714	0.468512	
RootPopulationSizeScaler0	635	645	1	0.0285714	0.21644	
LeafPopulationSizeScaler0	852	435	1	0.0285714	0.204517	
RootPopulationSizeScaler1	705	574	1	0.0285714	0.266376	
LeafPopulationSizeScaler1	726	561	1	0.0285714	0.289263	
RootPopulationSizeScaler2	726	565	1	0.0285714	0.297097	
LeafPopulationSizeScaler2	812	468	1	0.0285714	0.543281	
RootPopulationSizeScaler3	717	585	1	0.0285714	0.28021	
LeafPopulationSizeScaler3	1032	269	1	0.0285714	0.327637	
RootPopulationSizeScaler4	712	571	1	0.0285714	0.295774	
LeafPopulationSizeScaler4	991	313	1	0.0285714	0.816572	
RootPopulationSizeScaler5	718	591	1	0.0285714	0.2717	
LeafPopulationSizeScaler5	792	503	1	0.0285714	0.453066	
RootPopulationSizeScaler6	726	566	1	0.0285714	0.297851	
LeafPopulationSizeScaler6	1084	194	1	0.0285714	0.437128	
RootPopulationSizeScaler7	741	555	1	0.0285714	0.252437	
LeafPopulationSizeScaler7	809	474	1	0.0285714	0.528932	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2829	0	10	0.285714	none	
TimeSizeRateMixer	5151	3234	5	0.142857	0.178006	
TimeRootSizeMixer	2709	2610	3	0.0857143	0.226195	
EventTimeScaler	18223	14136	1	0.0285714	0.501191	
RootPopulationSizeScaler0	1220	1340	1	0.0285714	0.219813	
LeafPopulationSizeScaler0	1568	995	1	0.0285714	0.223097	
RootPopulationSizeScaler1	1304	1244	1	0.0285714	0.2763	
LeafPopulationSizeScaler1	1400	1197	1	0.0285714	0.304856	
RootPopulationSizeScaler2	1339	1240	1	0.0285714	0.305943	
LeafPopulationSizeScaler2	1549	1010	1	0.0285714	0.595992	
RootPopulationSizeScaler3	1388	1195	1	0.0285714	0.294482	
LeafPopulationSizeScaler3	1966	613	1	0.0285714	0.403325	
RootPopulationSizeScaler4	1289	1255	1	0.0285714	0.302156	
LeafPopulationSizeScaler4	1844	758	1	0.0285714	0.955962	
RootPopulationSizeScaler5	1390	1209	1	0.0285714	0.289669	
LeafPopulationSizeScaler5	1488	1090	1	0.0285714	0.485566	
