generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_N1	ln_likelihood_N1	ln_prior_N1	root_height_N1	mutation_rate_N1	freq_1_N1	pop_size_N1	pop_size_S1	pop_size_root_N1	root_height_index_E2	ln_likelihood_E2	ln_prior_E2	root_height_E2	mutation_rate_E2	freq_1_E2	pop_size_E2	pop_size_W2	pop_size_root_E2	root_height_index_N3	ln_likelihood_N3	ln_prior_N3	root_height_N3	mutation_rate_N3	freq_1_N3	pop_size_N3	pop_size_S3	pop_size_root_N3	root_height_index_E4	ln_likelihood_E4	ln_prior_E4	root_height_E4	mutation_rate_E4	freq_1_E4	pop_size_E4	pop_size_W4	pop_size_root_E4	root_height_index_S5	ln_likelihood_S5	ln_prior_S5	root_height_S5	mutation_rate_S5	freq_1_S5	pop_size_S5	pop_size_N5	pop_size_root_S5	root_height_index_S6	ln_likelihood_S6	ln_prior_S6	root_height_S6	mutation_rate_S6	freq_1_S6	pop_size_S6	pop_size_N6	pop_size_root_S6	root_height_index_S7	ln_likelihood_S7	ln_prior_S7	root_height_S7	mutation_rate_S7	freq_1_S7	pop_size_S7	pop_size_N7	pop_size_root_S7	root_height_index_E8	ln_likelihood_E8	ln_prior_E8	root_height_E8	mutation_rate_E8	freq_1_E8	pop_size_E8	pop_size_W8	pop_size_root_E8
0	-14933.5842946401099	111.991202291631012	8	7.5	0	-4311.07935149305376	11.6449961856922286	0.000362081083249583759	1	0.5	0.00415627834189318153	0.00415627834189318153	0.00438856577966006099	1	-3812.22096369854535	10.3431629323503529	0.0186313129320691238	1	0.5	0.00594388091453342329	0.00594388091453342329	0.00612880551346354271	2	-978.36515216392695	11.8115434477254269	0.0220624876541416909	1	0.5	0.00280563225632003482	0.00280563225632003482	0.00303039020604611853	3	-1282.42331648842583	11.4327120870282499	0.0129315202533003947	1	0.5	0.00479571637242579441	0.00479571637242579441	0.00471752928213184201	4	-474.579229806008357	8.30254476993654578	0.0178607243190292281	1	0.5	0.00286229588963924069	0.00286229588963924069	0.00211069391066049002	5	-1240.99371996224181	11.7858982098849978	0.0121557600656064559	1	0.5	0.00389917203729713046	0.00389917203729713046	0.00361988550333582721	6	-799.683205812006349	10.7462104877269766	0.0133765746779810502	1	0.5	0.00555996574069585105	0.00555996574069585105	0.00567614897638308181	7	-2034.23935521590101	11.9063428161517066	0.00202197944213684247	1	0.5	0.002791556053558528	0.002791556053558528	0.00255748308593561078
50	-14251.3113953634547	94.740177503444329	5	7.5	0	-3685.18456133364089	9.59074570599553411	0.0105242756260264109	1	0.5	0.00422605085171485085	0.00467897263909389325	0.00537361972290730308	1	-3803.79957186859838	9.94799977835887717	0.0285592795372968389	1	0.5	0.00608023224942213017	0.00638283406136788429	0.00655379520444855992	2	-978.719996962715413	12.1950238597303589	0.0176617197395247776	1	0.5	0.00281371336664874763	0.00294444218564324754	0.00281013613198674095	0	-1277.89188922189533	11.5897980580217101	0.0105242756260264109	1	0.5	0.00449462055144750957	0.00466295878346124643	0.0045370000798305981	3	-463.997360191743041	9.43537501225539188	0.00352873571745347539	1	0.5	0.00284794119601560532	0.00275648335415674744	0.00216946445544413495	1	-1225.79663068229229	11.2416285669858524	0.0285592795372968389	1	0.5	0.00403207995995858749	0.0038069177165326552	0.00342721914937419315	4	-798.713289951567617	10.6078570266098708	0.00575351668608269431	1	0.5	0.00517164296855366409	0.00552050597959579531	0.005766604618011535	0	-2017.20809515100109	11.943539267270296	0.0105242756260264109	1	0.5	0.00308678826232754297	0.00271817551088183616	0.00308363823764346533
100	-14232.8336255371159	99.4282067540537184	6	7.5	0	-3680.93545491090754	8.55198664267679121	0.0107728739057550305	1	0.5	0.00449376144130799772	0.00476403173523097696	0.00580549007421404546	1	-3801.47471612676054	9.12224179844177741	0.0303833731388575348	1	0.5	0.00582074661833196973	0.00677230925141465625	0.00712612807134377184	2	-980.020906038178055	11.9590556169508915	0.0128686299880189717	1	0.5	0.00284063238521777743	0.00287918732851955624	0.00303543356639136581	3	-1273.99925031305997	11.4526036826759743	0.011972305568363012	1	0.5	0.00416709198030498686	0.00459757865866714573	0.00466108592906357751	4	-463.137337832324818	11.9560315934101062	0.00495450278505905201	1	0.5	0.00258830342426377355	0.00236237374031415294	0.00232028071170089622	1	-1223.72673303705187	10.9520378875303237	0.0303833731388575348	1	0.5	0.00477648049397079704	0.00372836857564806407	0.00369653765494598217	5	-795.933218065786036	10.7543213272822236	0.00772582117505875646	1	0.5	0.00505671286551594764	0.00533815083978631758	0.00559516241455512795	3	-2013.60600921304831	11.8297898763716205	0.011972305568363012	1	0.5	0.00363253550414981228	0.00257815064241488558	0.00284480738368398864
150	-14158.1593182646648	86.1169790287299719	6	7.5	0	-3656.40402263495798	-3.2127049945393793	0.0094072191756354312	1	0.5	0.0048797345178653289	0.00535612611460471039	0.00830968008580483877	1	-3795.73631173388367	7.83733427392133208	0.0282118195603208166	1	0.5	0.00618112589725450419	0.00879491087463029481	0.00839172612880475718	2	-978.228334629367737	12.0897416279272001	0.0185347290683440039	1	0.5	0.00275999383122981987	0.00282418708882609115	0.00289421629155376227	0	-1249.55766820717076	12.0041583658412563	0.0094072191756354312	1	0.5	0.00292367396686776934	0.00374415486813020615	0.00313623905009449439	3	-461.402703917375504	11.4148942149960781	0.00241760076132293894	1	0.5	0.00227813602824797302	0.00217762836175014202	0.00198043401961857553	4	-1223.21206720983764	11.174400458969064	0.0283256376409054926	1	0.5	0.00519471172673767381	0.00378681719853808619	0.00485831122223130598	0	-779.389432120493211	11.8949633505026036	0.0094072191756354312	1	0.5	0.00414811484013957125	0.00392287496273051317	0.00391093265848749261	5	-2014.22877781157695	11.0824695703785459	0.00889613383999050128	1	0.5	0.00364509716396176076	0.00210200575133261906	0.00247844501810305391
200	-14128.2542725683652	85.2458716858088508	6	7.5	0	-3642.67045436577882	-3.53742282934754826	0.0131392801367550566	1	0.5	0.00457137464370928857	0.00625612685789651846	0.0087904310968582814	1	-3796.73567554451529	5.57794643790104772	0.0194827806577465013	1	0.5	0.00502706246477609316	0.0107280940038189925	0.00958164235679572103	1	-974.522691378775107	11.9173819557653289	0.0194827806577465013	1	0.5	0.00300679426489642871	0.00186484373885356918	0.00243014664735826964	0	-1249.00577771748226	11.9377266839954039	0.0131392801367550566	1	0.5	0.00272953081372557691	0.00392942854208743874	0.00312337515956424621	2	-460.447867878721809	11.3947458319271036	0.00560112807178464456	1	0.5	0.00236488710912199484	0.0016655365115836704	0.00215640444597955212	3	-1224.3592146816145	11.2772850871342492	0.0257181594766964887	1	0.5	0.00572268181027868732	0.00397911176672027626	0.00471334271268000846	4	-770.226643104302184	12.1538373189983204	0.00525400256363317379	1	0.5	0.00338284925799773109	0.00304511025326990783	0.00309822897371139728	5	-2010.28594789717454	11.5976305834401678	0.00871613278168879325	1	0.5	0.00451183329349862799	0.00253171741164338448	0.00322845483296416895
250	-14093.3812971907864	93.6899966607972488	8	7.5	0	-3636.134470143611	-1.26340314487171668	0.0153335139144143966	1	0.5	0.00454224079072894187	0.00713592754053923341	0.00905429080694167797	1	-3793.97159936949902	6.59813067380224183	0.0299827022479805423	1	0.5	0.00580951077980844041	0.0110032389613745167	0.00933776235198132722	2	-974.402890147870949	11.7399232851010424	0.0229757752047486559	1	0.5	0.00391006948490227671	0.0017805712247445332	0.00285853540022644849	3	-1235.90233202218951	11.6822274306825911	0.0102395284538871235	1	0.5	0.00213926730662790821	0.00330416969272919218	0.00247086669168291662	4	-457.263255765868792	10.9475214773490492	0.00300840816979871259	1	0.5	0.00185775407004306801	0.00140183747487171765	0.00173885526457514118	5	-1223.3995417615547	11.0059128520664835	0.0306493976141358586	1	0.5	0.00509510880192133499	0.00378335348894080683	0.00392406503390192295	6	-763.15855451490097	10.337939694870343	0.0088965958931215873	1	0.5	0.0032466032509680413	0.00236288114116541556	0.00228226220402566069	7	-2009.14865346529041	11.617022253593916	0.00824721109873968218	1	0.5	0.00459500969827381957	0.00192070142722543984	0.00316076486962910477
300	-14030.1788448062543	80.3958056105245333	6	7.5	0	-3608.99026970848536	-0.178546180718932135	0.0173475334560267216	1	0.5	0.00490913746366339332	0.0133355610141027009	0.0125822256240399281	1	-3794.39259357192714	6.34606360255363455	0.0327706089045005783	1	0.5	0.00655496051191793543	0.0107244748763597238	0.00965175189641999387	0	-973.952124925783892	11.655613050817049	0.0173475334560267216	1	0.5	0.00326342025405769714	0.00169244055844130657	0.00232717284409147095	2	-1221.90454795859705	10.3567897306043548	0.00891541783892655336	1	0.5	0.001502890661960687	0.00228032989657613386	0.00217621523400256603	3	-454.428298703689791	10.0721940773339398	0.00283479514263015007	1	0.5	0.00135732542964880801	0.00123013502458267209	0.00115657437229884025	1	-1222.05815540192179	11.4407567219472348	0.0327706089045005783	1	0.5	0.00532396956475095304	0.00329934766793324582	0.00451073955539078083	4	-750.788652216157516	10.8578738000973765	0.00807348430655348281	1	0.5	0.00147755963131798729	0.00146513632241982578	0.0013815374552309963	5	-2003.66420231969414	7.66957475657887855	0.0154821896865051864	1	0.5	0.00623902010089329596	0.00144680339844677772	0.00479458318527725344
350	-14022.3479222449132	79.6272881900503791	7	7.5	0	-3606.59847877652282	-1.41742524639742129	0.0164993376264860325	1	0.5	0.00421515925436783713	0.0127351583782540061	0.0122395743287402325	1	-3796.68766359488336	8.55209231164342754	0.0303586416196281496	1	0.5	0.00583424354428420822	0.00913631113763317682	0.00724454800406835846	2	-976.074844450031151	10.5196736169176788	0.0228509564476404199	1	0.5	0.00334730745542060823	0.00238645491402452803	0.00235801093527016363	3	-1216.30164256659828	8.98387248478189449	0.0098643604951898986	1	0.5	0.0012353232596183357	0.00163520285281297463	0.00171565579886133576	4	-454.49807843498337	8.29280467280975131	0.00407781060603140937	1	0.5	0.000980612065636927814	0.00175570200551291721	0.00108748111693919764	1	-1221.14532605989871	10.6737751098588376	0.0303586416196281496	1	0.5	0.00626697605351068075	0.00270690332213498761	0.00488685575617712684	5	-747.657137422549567	8.68421987639345971	0.0107953210495636432	1	0.5	0.000854643032616788376	0.00114728833405317162	0.00112858219279088779	6	-2003.38475093944453	8.79257080291999316	0.0134761484577887881	1	0.5	0.00593323520478861773	0.00152558926477624861	0.00447999167756337607
400	-14025.5705612701458	76.4922931784692395	6	7.5	0	-3606.41908788796081	0.191089021383998414	0.0157429272978475907	1	0.5	0.00427029932930342651	0.0154389809622516427	0.0129147636185383916	1	-3794.48357278144795	2.40482521126152449	0.0237947005141015272	1	0.5	0.00668990333667171533	0.0117279768639980634	0.0119147651679410178	2	-978.850554805507954	11.5066437036381508	0.0130765945134779724	1	0.5	0.00371828652996387043	0.00269461568801036312	0.00354112178243679411	3	-1217.11543861415339	10.9801840273436078	0.00817366589842856602	1	0.5	0.00145772305104910046	0.00147658972521650203	0.00146736126252121216	4	-452.571150747116803	8.02343512190852692	0.00323659982935958421	1	0.5	0.000605240804730821963	0.00139631580137917761	0.00114515013061267253	1	-1223.08317522618131	10.5437751701034124	0.0237947005141015272	1	0.5	0.00468099197495483715	0.0020524162033647474	0.00386235657151484451	5	-747.609792311542037	9.53973096096248696	0.00823510575094676782	1	0.5	0.0009960736031342423	0.00121150455432928578	0.00119857792370826779	0	-2005.43778889623536	9.81068035745848377	0.0157429272978475907	1	0.5	0.00724741386701694551	0.00134606157932905712	0.00438921991636696904
450	-14017.2416586310937	68.1248372539009495	5	7.5	0	-3599.5833368964395	-4.3734298461972152	0.0137574676949004052	1	0.5	0.00314465588682719165	0.0151463942228550995	0.0135628754831987452	1	-3794.30331599884539	6.36159864699845556	0.0255739061036908931	1	0.5	0.00607908368855537926	0.00950453387569482645	0.00930024744510751095	2	-977.057585784292769	11.6997264407176793	0.0198918881928793929	1	0.5	0.00353508462770248718	0.00271626826924988843	0.00340055820878218526	3	-1221.04111191311335	11.3188351718878835	0.00858612264815835496	1	0.5	0.00152026579975693735	0.00215914745217721943	0.00171154099579001002	4	-450.82991147726068	8.27455915349653282	0.00341501982994998335	1	0.5	0.000579653163355247909	0.0009543017093526702	0.000739294117220856977	1	-1223.62811213306259	8.97458361138413352	0.0255739061036908931	1	0.5	0.00674636510410945179	0.00177616232951678362	0.00351060897115438577	3	-745.376760675008995	7.78881088074077255	0.00858612264815835496	1	0.5	0.000853872774410066441	0.000689122027330931483	0.000858040641442733582	3	-2005.42152375306932	10.4116306829757619	0.00858612264815835496	1	0.5	0.0050031594373196658	0.00206284103481767407	0.00405684452461152999
