model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,1,5,6	0.0907143	0.0907143	0.007359	13.457
0,1,2,3,4,5,6,7	0.0678571	0.158571	0.055858	1.23045
0,1,2,0,3,1,4,5	0.0325	0.191071	0.001052	31.8977
0,1,2,3,4,1,5,0	0.025	0.216071	0.00098	26.1387
0,1,2,3,4,1,3,5	0.0242857	0.240357	0.000993	25.0408
0,1,2,3,4,1,0,5	0.0225	0.262857	0.000958	24.004
0,1,2,3,4,1,4,5	0.0217857	0.284643	0.001006	22.1158
0,1,2,3,4,1,5,3	0.0214286	0.306071	0.00098	22.3228
0,1,1,2,3,1,4,5	0.02	0.326071	0.002018	10.0927
0,1,2,3,4,5,6,0	0.0192857	0.345357	0.007428	2.62775
0,1,2,3,4,5,6,3	0.0189286	0.364286	0.007447	2.57152
0,1,2,0,3,1,0,0	0.0185714	0.382857	9.8e-05	193.071
0,1,2,0,3,4,5,6	0.0185714	0.401429	0.007476	2.51222
0,1,2,0,3,1,0,4	0.0171429	0.418571	0.000245	71.1738
0,1,2,3,4,1,5,2	0.0164286	0.435	0.001011	16.5045
0,1,2,3,4,5,6,2	0.015	0.45	0.007538	2.00499
0,1,2,3,4,1,5,5	0.015	0.465	0.00104	14.6275
0,1,2,3,4,5,3,6	0.015	0.48	0.007419	2.0374
0,1,2,0,3,1,4,0	0.0142857	0.494286	0.000272	53.2677
0,1,2,3,4,5,0,6	0.0117857	0.506071	0.007465	1.5857
0,1,2,3,3,1,4,5	0.0107143	0.516786	0.000988	10.951
0,1,2,3,4,1,3,0	0.0103571	0.527143	0.000135	77.512
0,1,2,0,3,4,5,0	0.01	0.537143	0.00204	4.94137
0,1,2,0,3,4,0,5	0.00964286	0.546786	0.001994	4.87329
0,1,2,3,4,2,5,6	0.00928571	0.556071	0.007411	1.25533
0,1,1,2,3,4,5,6	0.00928571	0.565357	0.007483	1.24317
0,1,2,3,4,5,4,6	0.00928571	0.574643	0.007333	1.26879
0,1,2,3,4,1,0,0	0.00892857	0.583571	0.000249	36.1718
0,1,2,3,4,1,3,3	0.00857143	0.592143	0.000264	32.7396
0,1,2,0,3,4,0,0	0.00857143	0.600714	0.000772	11.1902
0,1,2,3,4,1,4,0	0.00857143	0.609286	0.000133	64.9954
0,1,2,3,4,5,3,0	0.00714286	0.616429	0.000985	7.29661
0,1,2,3,4,5,3,3	0.00714286	0.623571	0.001959	3.66521
0,1,2,3,4,5,0,0	0.00678571	0.630357	0.001962	3.47537
0,1,1,2,3,1,4,0	0.00678571	0.637143	0.000267	25.5815
0,1,1,0,2,1,3,4	0.00678571	0.643929	0.000293	23.3108
0,1,0,2,3,1,4,0	0.00642857	0.650357	0.000276	23.4362
0,1,2,0,3,1,3,4	0.00607143	0.656429	0.000128	47.7167
0,1,2,3,3,1,3,4	0.00607143	0.6625	0.000273	22.3694
0,1,2,3,4,2,5,0	0.00571429	0.668214	0.000996	5.76446
0,1,2,3,4,5,6,6	0.00571429	0.673929	0.007441	0.766612
0,1,2,0,3,1,4,2	0.00571429	0.679643	0.000119	48.2894
0,1,2,3,3,4,5,6	0.00535714	0.685	0.007313	0.73111
0,1,1,2,3,1,2,4	0.00535714	0.690357	0.000277	19.4386
0,1,2,0,3,1,4,4	0.005	0.695357	0.000125	40.196
0,1,0,2,3,4,5,0	0.00464286	0.7	0.001958	2.37762
0,1,2,0,3,4,5,2	0.00464286	0.704643	0.000995	4.68329
0,1,2,0,3,1,0,2	0.00428571	0.708929	4.5e-05	95.6437
0,1,2,0,3,4,3,5	0.00428571	0.713214	0.000999	4.30416
0,1,2,3,4,1,4,3	0.00428571	0.7175	0.000141	30.5217
0,1,2,3,4,1,0,3	0.00428571	0.721786	0.000156	27.5865
0,1,1,2,3,1,3,4	0.00428571	0.726071	0.000265	16.2378
0,1,2,3,4,5,4,3	0.00392857	0.73	0.00094	4.19187
0,1,1,0,2,3,4,5	0.00392857	0.733929	0.000968	4.0705
0,1,2,0,0,1,3,4	0.00392857	0.737857	0.000281	14.0319
0,1,2,3,4,5,4,0	0.00392857	0.741786	0.000998	3.94803
0,1,2,0,3,1,3,0	0.00392857	0.745714	3.3e-05	119.513
0,1,1,0,2,1,3,0	0.00392857	0.749643	8.1e-05	48.6882
0,1,2,0,0,3,4,5	0.00357143	0.753214	0.001986	1.80116
0,1,2,3,4,1,3,2	0.00357143	0.756786	0.000147	24.3789
0,1,2,3,4,2,3,5	0.00357143	0.760357	0.001007	3.55573
0,1,2,3,3,4,3,5	0.00357143	0.763929	0.002032	1.76031
0,1,2,3,0,1,0,4	0.00357143	0.7675	0.000262	13.6767
0,1,2,3,4,1,0,2	0.00357143	0.771071	0.000127	28.2187
0,1,2,3,4,5,4,2	0.00357143	0.774643	0.001034	3.46279
0,1,1,2,3,1,4,2	0.00321429	0.777857	0.000263	12.2578
0,1,2,3,4,5,0,3	0.00321429	0.781071	0.001052	3.06203
0,1,1,2,3,1,4,4	0.00321429	0.784286	0.000272	11.8521
0,1,1,2,3,4,2,5	0.00321429	0.7875	0.000937	3.43824
0,1,1,2,3,1,0,4	0.00321429	0.790714	0.000274	11.7656
0,1,2,3,4,1,5,4	0.00321429	0.793929	0.001012	3.18319
0,1,2,3,4,5,0,2	0.00321429	0.797143	0.000982	3.28053
0,1,1,0,2,1,0,3	0.00285714	0.8	6.3e-05	45.4786
0,1,2,0,0,1,0,0	0.00285714	0.802857	5.8e-05	49.3994
0,1,2,3,4,2,5,5	0.00285714	0.805714	0.001023	2.79804
0,1,0,2,3,1,4,5	0.00285714	0.808571	0.000984	2.90905
0,1,2,3,4,2,5,3	0.00285714	0.811429	0.00102	2.80628
0,1,1,2,3,4,5,0	0.00285714	0.814286	0.000951	3.0101
0,1,2,3,4,5,6,4	0.00285714	0.817143	0.007509	0.378721
0,1,1,0,2,3,4,0	0.00285714	0.82	0.000264	10.8507
0,1,2,3,4,2,4,5	0.0025	0.8225	0.000954	2.62461
0,1,2,0,3,2,4,5	0.0025	0.825	0.001007	2.48634
0,1,2,3,4,5,3,2	0.0025	0.8275	0.00102	2.45462
0,1,1,0,2,1,0,0	0.00214286	0.829643	2.7e-05	79.5334
0,1,2,3,0,1,0,0	0.00214286	0.831786	9.7e-05	22.1366
0,1,2,3,4,1,4,2	0.00214286	0.833929	0.000134	16.0237
0,1,2,0,0,1,0,3	0.00214286	0.836071	0.000114	18.8352
0,1,2,3,3,1,4,0	0.00214286	0.838214	0.000135	15.905
0,1,2,3,0,4,5,6	0.00214286	0.840357	0.00749	0.284563
0,1,2,0,3,2,0,0	0.00178571	0.842143	0.000108	16.5622
0,1,1,2,3,1,0,0	0.00178571	0.843929	6e-05	29.8134
0,1,2,3,3,1,4,3	0.00178571	0.845714	0.00025	7.15385
0,1,2,0,0,3,0,4	0.00178571	0.8475	0.000799	2.23715
0,1,1,2,3,4,3,5	0.00178571	0.849286	0.000976	1.83111
0,1,0,2,3,4,5,6	0.00178571	0.851071	0.007578	0.234277
0,1,2,3,0,1,4,5	0.00178571	0.852857	0.001003	1.78177
0,1,1,2,2,1,3,4	0.00178571	0.854643	0.000283	6.31944
0,1,2,0,0,1,3,0	0.00178571	0.856429	0.000123	14.5422
0,1,2,3,3,1,3,0	0.00178571	0.858214	3.1e-05	57.7049
0,1,0,2,3,1,2,4	0.00178571	0.86	0.00014	12.7761
0,1,1,2,3,4,0,5	0.00178571	0.861786	0.00099	1.80519
0,1,1,2,2,1,2,3	0.00142857	0.863214	5.9e-05	24.2463
0,1,2,3,3,4,0,5	0.00142857	0.864643	0.001006	1.42065
0,1,2,3,3,1,0,0	0.00142857	0.866071	3.9e-05	36.681
0,1,0,0,2,1,3,0	0.00142857	0.8675	0.000113	12.6589
0,1,2,3,4,5,6,1	0.00142857	0.868929	0.007472	0.190033
0,1,2,3,3,1,3,3	0.00142857	0.870357	0.000105	13.6235
0,1,2,0,3,1,4,3	0.00142857	0.871786	0.000126	11.3527
0,1,1,2,3,1,3,2	0.00142857	0.873214	4.8e-05	29.8031
0,1,2,3,0,1,4,0	0.00142857	0.874643	0.00026	5.50094
0,1,0,2,3,4,2,5	0.00142857	0.876071	0.000992	1.44072
0,1,1,2,3,1,2,0	0.00142857	0.8775	2.9e-05	49.3301
0,1,2,3,4,2,0,5	0.00142857	0.878929	0.001007	1.41924
0,1,2,0,3,4,3,0	0.00142857	0.880357	0.000284	5.03595
0,1,1,0,0,1,0,2	0.00142857	0.881786	3.5e-05	40.8733
0,1,2,3,0,4,5,3	0.00142857	0.883214	0.001027	1.39157
0,1,2,0,0,3,0,0	0.00142857	0.884643	0.000409	3.49641
0,1,2,3,3,1,4,4	0.00142857	0.886071	0.000131	10.9193
0,1,2,2,3,1,4,5	0.00142857	0.8875	0.001012	1.41222
0,1,2,0,3,2,3,4	0.00142857	0.888929	0.000127	11.2633
0,1,2,0,3,4,5,5	0.00142857	0.890357	0.000901	1.58638
0,1,2,3,3,4,5,0	0.00142857	0.891786	0.001042	1.37152
0,1,2,0,3,2,4,0	0.00142857	0.893214	0.00025	5.72103
0,1,2,0,0,1,3,3	0.00107143	0.894286	3.1e-05	34.5982
0,1,2,0,0,1,3,2	0.00107143	0.895357	3.4e-05	31.5453
0,1,2,3,3,4,0,0	0.00107143	0.896429	0.000283	3.78895
0,1,2,0,0,2,3,4	0.00107143	0.8975	0.00028	3.82956
0,1,1,2,2,3,2,4	0.00107143	0.898571	0.000239	4.4867
0,1,1,2,3,4,5,5	0.00107143	0.899643	0.001004	1.06723
0,1,2,3,4,1,2,2	0.00107143	0.900714	0.000287	3.73613
0,1,1,0,2,1,2,3	0.00107143	0.901786	4e-05	26.8134
0,1,1,0,0,1,2,3	0.00107143	0.902857	7.5e-05	14.3
0,1,2,0,3,4,3,2	0.00107143	0.903929	0.000129	8.31348
0,1,2,0,0,3,4,4	0.00107143	0.905	0.000233	4.60227
0,1,1,2,2,3,4,5	0.00107143	0.906071	0.000981	1.09228
0,1,0,2,3,4,5,2	0.00107143	0.907143	0.00099	1.08234
0,1,2,3,4,2,0,3	0.00107143	0.908214	0.000121	8.86321
0,1,2,3,0,1,0,3	0.00107143	0.909286	2.7e-05	39.724
0,1,1,2,3,1,0,2	0.00107143	0.910357	3.5e-05	30.644
0,1,1,2,3,1,2,2	0.00107143	0.911429	7.2e-05	14.8958
0,1,0,2,3,1,4,2	0.00107143	0.9125	0.000119	9.01219
0,1,2,0,3,1,3,2	0.00107143	0.913571	2.1e-05	51.0741
0,1,2,0,3,4,0,2	0.00107143	0.914643	0.000303	3.53879
0,1,0,2,3,1,3,0	0.00107143	0.915714	4e-05	26.8134
0,1,0,2,3,1,2,2	0.00107143	0.916786	4.4e-05	24.3757
0,1,2,3,4,5,2,6	0.00107143	0.917857	0.007593	0.140186
0,1,0,2,2,1,2,3	0.00107143	0.918929	3.7e-05	28.9875
0,1,2,3,0,4,3,5	0.00107143	0.92	0.000983	1.09005
0,1,1,2,3,4,2,2	0.00107143	0.921071	0.000263	4.07717
0,1,0,0,2,1,3,4	0.00107143	0.922143	0.000276	3.88508
0,1,1,2,3,4,2,0	0.00107143	0.923214	0.000133	8.06342
0,1,2,3,3,2,4,5	0.00107143	0.924286	0.000991	1.08125
0,1,2,0,3,2,3,0	0.00107143	0.925357	3.9e-05	27.5009
0,1,2,3,3,4,5,3	0.00107143	0.926429	0.001987	0.538725
0,1,2,3,4,5,6,5	0.000714286	0.927143	0.00739	0.09601
0,1,2,3,3,1,3,2	0.000714286	0.927857	3.9e-05	18.3274
0,1,1,2,0,3,4,5	0.000714286	0.928571	0.001028	0.694612
0,1,2,0,3,2,0,4	0.000714286	0.929286	0.000253	2.82457
0,1,2,3,4,5,4,4	0.000714286	0.93	0.001946	0.366601
0,1,2,0,3,1,3,3	0.000714286	0.930714	3.9e-05	18.3274
0,1,0,2,2,1,2,0	0.000714286	0.931429	1.2e-05	59.5656
0,1,2,0,3,1,2,4	0.000714286	0.932143	0.000128	5.58363
0,1,2,0,3,4,2,5	0.000714286	0.932857	0.001026	0.695968
0,1,2,0,3,1,0,3	0.000714286	0.933571	4.2e-05	17.0182
0,1,0,2,2,1,2,2	0.000714286	0.934286	1.2e-05	59.5656
0,1,2,3,4,5,3,4	0.000714286	0.935	0.001019	0.700754
0,1,2,3,4,5,2,2	0.000714286	0.935714	0.001974	0.361391
0,1,2,0,0,3,4,0	0.000714286	0.936429	0.000781	0.914517
0,1,2,0,0,3,0,2	0.000714286	0.937143	0.00012	5.95592
0,1,2,0,3,4,5,3	0.000714286	0.937857	0.001048	0.681343
0,1,2,0,0,2,3,0	0.000714286	0.938571	9.6e-05	7.44508
0,1,2,0,0,2,0,3	0.000714286	0.939286	9.5e-05	7.52346
0,1,0,2,3,1,0,4	0.000714286	0.94	0.000266	2.68649
