generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1978	0	10	0.4	none	
TimeSizeRateMixer	1756	1253	5	0.2	0.196196	
TimeRootSizeMixer	945	781	3	0.12	0.193029	
EventTimeScaler	6727	4405	1	0.04	0.331354	
RootPopulationSizeScaler0	1011	831	1	0.04	0.297521	
LeafPopulationSizeScaler0	1210	616	1	0.04	0.438511	
RootPopulationSizeScaler1	1059	755	1	0.04	0.184707	
LeafPopulationSizeScaler1	1172	635	1	0.04	0.202781	
RootPopulationSizeScaler2	1184	614	1	0.04	0.213208	
LeafPopulationSizeScaler2	1360	453	1	0.04	0.453036	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4003	0	10	0.4	none	
TimeSizeRateMixer	3324	2701	5	0.2	0.207596	
TimeRootSizeMixer	1865	1640	3	0.12	0.202794	
EventTimeScaler	12754	9716	1	0.04	0.354524	
RootPopulationSizeScaler0	1920	1759	1	0.04	0.308919	
LeafPopulationSizeScaler0	2287	1372	1	0.04	0.48466	
RootPopulationSizeScaler1	2024	1615	1	0.04	0.197443	
LeafPopulationSizeScaler1	2270	1349	1	0.04	0.227384	
RootPopulationSizeScaler2	2191	1422	1	0.04	0.235635	
LeafPopulationSizeScaler2	2557	1051	1	0.04	0.526411	
generation 15000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5972	0	10	0.4	none	
TimeSizeRateMixer	4848	4245	5	0.2	0.212686	
TimeRootSizeMixer	2722	2525	3	0.12	0.207689	
EventTimeScaler	18437	15191	1	0.04	0.364827	
RootPopulationSizeScaler0	2793	2731	1	0.04	0.313111	
LeafPopulationSizeScaler0	3268	2213	1	0.04	0.505313	
RootPopulationSizeScaler1	2971	2519	1	0.04	0.20485	
LeafPopulationSizeScaler1	3333	2124	1	0.04	0.241023	
RootPopulationSizeScaler2	3218	2244	1	0.04	0.248135	
LeafPopulationSizeScaler2	3707	1734	1	0.04	0.567594	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8021	0	10	0.4	none	
TimeSizeRateMixer	6281	5722	5	0.2	0.215807	
TimeRootSizeMixer	3579	3442	3	0.12	0.210243	
EventTimeScaler	24160	20762	1	0.04	0.372264	
RootPopulationSizeScaler0	3647	3670	1	0.04	0.316588	
LeafPopulationSizeScaler0	4266	3002	1	0.04	0.521636	
RootPopulationSizeScaler1	3891	3408	1	0.04	0.209195	
LeafPopulationSizeScaler1	4346	2876	1	0.04	0.249725	
RootPopulationSizeScaler2	4224	3030	1	0.04	0.256095	
LeafPopulationSizeScaler2	4786	2447	1	0.04	0.596122	
generation 25000:
