generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_W1	ln_likelihood_W1	ln_prior_W1	root_height_W1	mutation_rate_W1	freq_1_W1	pop_size_W1	pop_size_E1	pop_size_root_W1	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_W5	ln_likelihood_W5	ln_prior_W5	root_height_W5	mutation_rate_W5	freq_1_W5	pop_size_W5	pop_size_E5	pop_size_root_W5
0	-7160.3543643037674	44.2786496700855423	3	7.5	0	-1846.99520344464349	10.6365487868000841	0.0008123021233263424	1	0.5	0.00133436997915518658	0.00133436997915518658	0.00128147027228715598	1	-4118.32777089318006	10.4379754503517148	0.00129091100134041872	1	0.5	0.00125689183758211434	0.00125689183758211434	0.00127999206752250167	2	-1195.0313899659443	10.6861759290889111	0.00725687820634523736	1	0.5	0.00562108406081020424	0.00562108406081020424	0.00538880039244565064
50	-6663.77651345264076	33.0205935878491488	3	7.5	0	-1423.39953423417546	10.9970745935311101	0.0419118275865939874	1	0.5	0.00151039736926627654	0.00152976328137071575	0.00143989734604172402	1	-4065.69431747664612	4.86023595743750292	0.00177358875501125533	1	0.5	0.00136805204720649243	0.00142099378920286274	0.00191680509655953548	2	-1174.6826617418194	10.4486825559190137	0.02370816521823986	1	0.5	0.00532485212689480514	0.00498513114921042468	0.00573353957000652999
100	-6618.11407644257997	30.8014454276371801	3	7.5	0	-1421.27011375339816	11.167083023700922	0.0568248308577752048	1	0.5	0.00162336842447000887	0.00151092692941355708	0.00157376899757660023	1	-4025.11758064994547	2.97260541303196391	0.00204821227529513195	1	0.5	0.00164225523093812866	0.00180392213115644585	0.00251138372632684313	2	-1171.72638203923634	10.9964293977450076	0.0190132673047971705	1	0.5	0.00558437204022116732	0.00488585618242496408	0.0049874531001373075
150	-6570.64777225549915	23.5793759473906626	3	7.5	0	-1417.86083388004658	11.399562457198563	0.0564703217352311646	1	0.5	0.0017733925317588899	0.00171760067467074604	0.00179419035975242076	1	-3982.1078811578468	-4.33802384771325222	0.00269877421088736804	1	0.5	0.00212861340461401732	0.0018753729445138991	0.00333698798293166968	2	-1170.67905721760621	10.6501759243460832	0.0166938762877491612	1	0.5	0.00562366841911085373	0.00469117678728635072	0.0056212412183537586
200	-6521.94209137312282	20.6479525728289026	3	7.5	0	-1415.34142199396547	11.7655897195634545	0.063254873513909432	1	0.5	0.0020499880525926494	0.0019788280233006177	0.00194853479278447417	1	-3945.31502447876528	-0.391599635444556782	0.00301617228082265692	1	0.5	0.00274580002534632666	0.00259340393199389589	0.00420660631367597571	2	-1161.28564490039184	4.34608518766836127	0.0189897675643118519	1	0.5	0.005051125023045085	0.00383635137260086205	0.0063084453597227674
250	-6472.20644420340068	30.5756491440304181	3	7.5	0	-1410.5737733998601	10.9005218460683615	0.0449842088130532475	1	0.5	0.00185815375554140329	0.00264206805740121618	0.00255810198038061232	1	-3912.80933957327306	0.966648190029626875	0.00402546215314150604	1	0.5	0.00340349121151178836	0.00393107004180171839	0.00563126275680540019	2	-1148.82333123026683	11.5504519429758936	0.013949643753700244	1	0.5	0.00473436546661535479	0.0028674071546496158	0.00405952050993694646
300	-6411.85384255845383	29.2776481624498892	3	7.5	0	-1407.65133656712533	11.7252103890460155	0.049948199011894942	1	0.5	0.00222326421541495971	0.00308852047616075924	0.00286091372690329242	1	-3864.65277850916164	-0.646667835600496232	0.00656511413472294324	1	0.5	0.00593281594255988271	0.00553858539168343954	0.00883510568282993257	2	-1139.54972748216665	11.9794702606547894	0.0158299197393466443	1	0.5	0.00322216089468802935	0.00198463041616199877	0.00257595205958820401
350	-6400.62255127158278	30.8851786335034895	3	7.5	0	-1406.0925948775182	9.45849390989645755	0.0512341895345660645	1	0.5	0.00253631987739810077	0.00419692280024398442	0.00414312765164808437	1	-3859.03757799133018	3.75310696831804691	0.00933684516982769691	1	0.5	0.00780843193564131725	0.00793343487204591948	0.0103846678846942261	2	-1135.49237840273395	11.6421212084498578	0.0136539861966753374	1	0.5	0.00376328081322500983	0.00165238884915048265	0.00276200401654040422
400	-6388.70525938878745	26.0086759966492451	3	7.5	0	-1406.30651061075491	11.0507014809754622	0.0613886179784145572	1	0.5	0.00219290258436631883	0.00372012883404403312	0.00335208176683744535	1	-3849.98184732456093	-0.776718989190683828	0.00999948397469731243	1	0.5	0.00972427912343772592	0.00808228697308757509	0.0127569944949860736	2	-1132.41690145347206	10.8946280807594853	0.0147508301752986778	1	0.5	0.0050732342926992826	0.00139533407585769255	0.00304188961269357674
450	-6383.46031969497471	28.1955168201963886	3	7.5	0	-1409.27477428323164	11.9220964092358699	0.0481438195481111164	1	0.5	0.00336116233549491744	0.00349325325593338775	0.00316560291289437554	1	-3846.91997565004021	2.10224353493169502	0.00949018344586145118	1	0.5	0.0112462926752173453	0.00742681153047065716	0.0121721769740863097	2	-1127.26556976170286	8.14528010872679786	0.016646615702467539	1	0.5	0.00470246922037667863	0.000788149739230341686	0.00221786423663815086
500	-6381.60508776774532	30.1072967607332913	3	7.5	0	-1407.54005778913984	11.776576236277478	0.0473036528050619839	1	0.5	0.00265319244802855649	0.00358960186896475908	0.00336198013832297382	1	-3846.34042659865781	2.51887860174514344	0.0109376355751641535	1	0.5	0.0132618490802570241	0.007534658339243854	0.0125727497035471487	2	-1127.72460337994767	10.0016698745584094	0.018196577507711597	1	0.5	0.00430271385734466022	0.00081274580375520543	0.00235357489968238479
550	-6378.53909118552474	28.4679952227583826	3	7.5	0	-1407.03714850321785	11.5635059998183465	0.0623492139095376541	1	0.5	0.00300901794263183555	0.004398722188455482	0.00334803534176479102	1	-3843.76580064593463	2.05497311561292406	0.0101258072299906052	1	0.5	0.0114928663617798899	0.00631553251041577345	0.011785889145337472	2	-1127.73614203637248	10.0442797942661954	0.0140122020993229505	1	0.5	0.00468153334191303509	0.000870423121989157434	0.00294326710055657984
600	-6379.27664572404865	27.75888974438503	3	7.5	0	-1407.79042240849139	11.3633957278289763	0.0521527701770797616	1	0.5	0.0028610029772942391	0.00513303055965586875	0.00364594956425733042	1	-3844.42765566977914	3.128744104751501	0.0103582275428284066	1	0.5	0.0115953337130720261	0.0057944200157271598	0.01118950779794038	2	-1127.0585676457772	7.48455194613464769	0.014206608992853146	1	0.5	0.00604032890460104357	0.000706610255900392767	0.00400600252660473968
650	-6379.0350650253713	30.5469314547311797	3	7.5	0	-1406.00854457021978	11.7737881596119216	0.0548946182770648008	1	0.5	0.00253806736121021167	0.00438464178589274573	0.00324042910004389761	1	-3845.22903021667616	3.62585032015351771	0.0107281830801610675	1	0.5	0.0117636967857325993	0.00580297226989650965	0.0110557130771678624	2	-1127.79749023847535	10.1560590157610271	0.0190044454201873762	1	0.5	0.00444208644444950024	0.000792624250412889229	0.00261784725292482168
700	-6372.8756785785572	25.4845690269319398	3	7.5	0	-1406.13414208554991	11.1049434006893932	0.0604887592820035486	1	0.5	0.00234165991333321402	0.00370523041291372047	0.00259750869535180446	1	-3839.01051403576275	-0.71298252096817194	0.00862639930618329213	1	0.5	0.0145949507029561124	0.00523486916261816336	0.0134649269057745269	2	-1127.73102245724453	9.92772672388083777	0.0137756135479747237	1	0.5	0.00527626955947012918	0.000837072357576886298	0.00294648877070407276
750	-6374.90752739417439	26.2452829734431923	3	7.5	0	-1406.65894370169326	10.9779474008257338	0.0528137913916817553	1	0.5	0.0024793847119467644	0.00342049531781498219	0.00338962446207417313	1	-3840.2033027169764	0.0298018495736549482	0.00992466162149483085	1	0.5	0.0142600758122176687	0.0056258926959326782	0.0132576044159831239	2	-1128.04528097550451	9.30677539384036123	0.0124935500642493671	1	0.5	0.00524339324761337409	0.00088619139264576837	0.00343426049594233252
800	-6374.02415639528772	26.1686677631411477	3	7.5	0	-1405.54465670686295	11.3301426092204238	0.0549490303748793527	1	0.5	0.00207469778927057069	0.00415453026543341746	0.00341120351434266722	1	-3840.68631668851413	1.45700280546208205	0.00701870935703929714	1	0.5	0.0149506690461867001	0.0041904958137743047	0.0121943628336444523	2	-1127.79318299991019	6.96759526390598438	0.00843257579201514042	1	0.5	0.00560447731003259168	0.00062399056975033485	0.00377606449585151174
850	-6374.47467009516549	19.6178026546348221	2	7.5	0	-1406.33505269909915	11.1434683000360515	0.0585062586385187364	1	0.5	0.00271504603117143136	0.00448025762280332245	0.00402658589685407891	1	-3838.17779607466809	-0.862523556596997309	0.00801591871846558425	1	0.5	0.0135068010284904449	0.00450396703184546745	0.0126387381738829723	1	-1129.96182132139779	9.15519021647851972	0.00801591871846558425	1	0.5	0.00611656667282279784	0.000697993430051271554	0.0033413704484416655
900	-6376.73452569557867	28.7193670825558378	3	7.5	0	-1406.0689764152055	11.5052192672294247	0.0628440923044847749	1	0.5	0.00193359690701241363	0.00397409146261144732	0.00269389970073061376	1	-3842.82594338028548	3.26350216480168953	0.00874307381280223922	1	0.5	0.0153527218937709146	0.00499676546989208468	0.0115944565476971944	2	-1127.83960590008815	9.55880778223372118	0.0190340415692633394	1	0.5	0.00538147533336044964	0.000770045204071637969	0.00322937181025141629
950	-6378.13054881119479	29.6294099959277837	3	7.5	0	-1408.02331994418432	11.7856324303515052	0.0455139184416190473	1	0.5	0.00251526222537511255	0.00464081041039235247	0.00365593400204520212	1	-3842.11384206829507	2.09500855477454451	0.00908696771156229655	1	0.5	0.0129584042959017091	0.00604404094388626481	0.0121778623257740443	2	-1127.99338679871539	9.79075650560725563	0.0203585751643342687	1	0.5	0.00467916207885004688	0.00078031041520633252	0.00251317362281666288
1000	-6372.92232097148917	25.4827556160612296	3	7.5	0	-1406.2693664022745	11.8925924829217884	0.049713952190987537	1	0.5	0.00220128466127939969	0.00403008846945488493	0.00299312641522568807	1	-3838.61315770682768	-2.27271938164684784	0.00910640069071989681	1	0.5	0.0130012305769187809	0.00555570577648044177	0.0134406002591089691	2	-1128.0397968623879	9.70694960962635278	0.014159904436153576	1	0.5	0.00303804926587131294	0.000621457485352355809	0.00171042648140068204
1050	-6373.81085726135007	28.8918130912177631	3	7.5	0	-1406.03811675934753	11.6349168533052918	0.0513240226843986666	1	0.5	0.00170082556147311626	0.0039767028094750646	0.00289311233944935164	1	-3841.06198872598861	1.67078031761317192	0.00953937792719477921	1	0.5	0.0148006818661923691	0.00551550938306606935	0.0126611616326921753	2	-1126.71075177601392	9.3919502992148125	0.0117345295470220844	1	0.5	0.00486231944222285765	0.000606420852934313982	0.0027286252360905496
